Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour,Access Day of Year
0,3,0,160,1,4.67,2,4,116,14,114
0,3,1,259,0,2.48,2,4,116,16,114
0,3,2,319,0,2.42,2,4,116,13,114
0,3,0,160,1,6.17,2,4,116,11,114
0,3,0,160,1,4.67,2,4,116,18,114
0,3,0,219,1,4.77,2,4,116,11,114
0,3,2,319,0,2.4,2,4,116,6,114
0,3,2,319,0,2.5,2,4,116,8,114
0,3,2,319,0,2.53,2,4,116,10,114
0,3,2,319,0,2.55,2,4,116,15,114
0,3,2,319,0,2.57,2,4,116,17,114
0,3,2,319,0,2.75,2,4,116,19,114
0,3,1,330,0,2.4,2,4,116,11,114
0,3,0,160,1,4.67,3,4,117,14,114
0,3,1,259,0,2.4,3,4,117,11,114
0,3,1,259,0,2.48,3,4,117,16,114
0,3,2,319,0,2.42,3,4,117,13,114
0,3,0,160,1,4.48,3,4,117,5,114
0,3,0,160,1,4.77,3,4,117,11,114
0,3,0,160,1,4.77,3,4,117,18,114
0,3,0,161,1,6.58,3,4,117,12,114
0,3,2,319,0,2.4,3,4,117,6,114
0,3,2,319,0,2.5,3,4,117,8,114
0,3,2,319,0,2.53,3,4,117,10,114
0,3,2,319,0,2.55,3,4,117,15,114
0,3,2,319,0,2.57,3,4,117,17,114
0,3,0,160,1,4.67,4,4,118,14,114
0,3,1,259,0,2.4,4,4,118,11,114
0,3,1,259,0,2.5,4,4,118,16,114
0,3,2,319,0,2.42,4,4,118,13,114
0,3,0,160,1,4.47,4,4,118,6,114
0,3,0,160,1,4.77,4,4,118,11,114
0,3,0,160,1,4.65,4,4,118,19,114
0,3,0,161,1,6.6,4,4,118,11,114
0,3,2,319,0,2.4,4,4,118,6,114
0,3,2,319,0,2.5,4,4,118,8,114
0,3,2,319,0,2.53,4,4,118,10,114
0,3,2,319,0,2.53,4,4,118,14,114
0,3,2,319,0,2.57,4,4,118,17,114
0,3,1,259,0,2.48,5,4,119,16,114
0,3,2,319,0,2.42,5,4,119,13,114
0,3,0,160,1,6.17,5,4,119,11,114
0,3,0,194,1,4.67,5,4,119,18,114
0,3,0,219,1,4.48,5,4,119,5,114
0,3,0,219,1,4.67,5,4,119,14,114
0,3,1,284,0,2.4,5,4,119,11,114
0,3,2,319,0,2.4,5,4,119,6,114
0,3,2,319,0,2.5,5,4,119,8,114
0,3,2,319,0,2.53,5,4,119,10,114
0,3,2,319,0,2.55,5,4,119,15,114
0,3,2,319,0,2.57,5,4,119,17,114
0,3,0,160,1,4.67,6,4,120,14,114
0,3,1,259,0,2.48,6,4,120,16,114
0,3,2,319,0,2.42,6,4,120,13,114
0,3,0,160,1,4.77,6,4,120,11,114
0,3,0,160,1,4.67,6,4,120,18,114
0,3,0,161,1,6.58,6,4,120,12,114
0,3,1,259,0,2.4,6,4,120,11,114
0,3,0,292,1,4.48,6,4,120,5,114
0,3,2,319,0,2.4,6,4,120,6,114
0,3,2,319,0,2.5,6,4,120,8,114
0,3,2,319,0,2.53,6,4,120,10,114
0,3,2,319,0,2.55,6,4,120,15,114
0,3,2,319,0,2.57,6,4,120,17,114
0,3,0,78,1,4.78,7,4,121,14,114
0,3,1,84,0,2.48,7,4,121,16,114
0,3,2,144,0,2.42,7,4,121,13,114
0,3,1,84,0,2.4,7,4,121,11,114
0,3,1,84,0,2.5,7,4,121,21,114
0,3,2,144,0,2.4,7,4,121,6,114
0,3,2,144,0,2.5,7,4,121,8,114
0,3,2,144,0,2.53,7,4,121,10,114
0,3,2,144,0,2.55,7,4,121,15,114
0,3,2,144,0,2.57,7,4,121,17,114
0,3,2,144,0,2.75,7,4,121,19,114
0,3,1,84,0,2.53,8,5,122,15,114
0,3,2,144,0,2.42,8,5,122,13,114
0,3,0,78,1,6.17,8,5,122,11,114
0,3,0,78,1,6.9,8,5,122,14,114
0,3,0,78,1,4.67,8,5,122,18,114
0,3,1,84,0,2.5,8,5,122,8,114
0,3,1,84,0,2.53,8,5,122,21,114
0,3,2,144,0,2.4,8,5,122,6,114
0,3,2,144,0,2.5,8,5,122,8,114
0,3,2,144,0,2.53,8,5,122,10,114
0,3,2,144,0,2.55,8,5,122,15,114
0,3,2,144,0,2.57,8,5,122,17,114
0,3,2,144,0,2.75,8,5,122,19,114
0,3,1,134,0,2.53,9,5,123,15,114
0,3,2,144,0,2.55,9,5,123,15,114
0,3,2,144,0,2.57,9,5,123,17,114
0,3,0,79,1,7.5,9,5,123,17,114
0,3,0,92,1,6.17,9,5,123,11,114
0,3,0,92,1,6.9,9,5,123,14,114
0,3,0,117,1,4.77,9,5,123,11,114
0,3,1,134,0,2.53,9,5,123,21,114
0,3,2,144,0,2.4,9,5,123,6,114
0,3,2,144,0,2.75,9,5,123,19,114
0,3,1,174,0,2.58,9,5,123,7,114
0,3,2,189,0,2.53,9,5,123,10,114
0,3,0,217,1,4.47,9,5,123,6,114
0,3,0,92,1,4.77,10,5,124,18,114
0,3,1,174,0,2.53,10,5,124,15,114
0,3,0,79,1,7.5,10,5,124,17,114
0,3,0,92,1,6.17,10,5,124,11,114
0,3,0,92,1,6.9,10,5,124,14,114
0,3,0,117,1,4.77,10,5,124,11,114
0,3,0,117,1,4.67,10,5,124,14,114
0,3,1,134,0,2.53,10,5,124,21,114
0,3,2,144,0,2.4,10,5,124,6,114
0,3,1,174,0,2.58,10,5,124,7,114
0,3,2,189,0,2.55,10,5,124,15,114
0,3,2,189,0,2.57,10,5,124,17,114
0,3,2,229,0,2.52,10,5,124,8,114
0,3,2,229,0,2.42,10,5,124,13,114
0,3,2,269,0,2.53,10,5,124,10,114
0,3,0,78,1,4.67,11,5,125,14,114
0,3,1,84,0,2.53,11,5,125,15,114
0,3,2,144,0,2.42,11,5,125,13,114
0,3,0,78,1,6.17,11,5,125,11,114
0,3,0,78,1,4.65,11,5,125,19,114
0,3,1,84,0,2.53,11,5,125,21,114
0,3,0,92,1,4.77,11,5,125,11,114
0,3,1,134,0,2.58,11,5,125,7,114
0,3,0,142,1,4.47,11,5,125,6,114
0,3,2,144,0,2.4,11,5,125,6,114
0,3,2,144,0,2.52,11,5,125,8,114
0,3,2,144,0,2.53,11,5,125,10,114
0,3,2,144,0,2.55,11,5,125,15,114
0,3,2,144,0,2.57,11,5,125,17,114
0,3,1,94,0,2.58,12,5,126,7,114
0,3,1,94,0,2.47,12,5,126,21,114
0,3,2,144,0,2.52,12,5,126,8,114
0,3,2,144,0,2.4,12,5,126,6,114
0,3,0,152,1,4.77,12,5,126,11,114
0,3,0,152,1,4.67,12,5,126,18,114
0,3,2,189,0,2.75,12,5,126,19,114
0,3,1,204,0,2.53,12,5,126,15,114
0,3,2,269,0,2.53,12,5,126,10,114
0,3,2,269,0,2.57,12,5,126,17,114
0,3,0,277,1,4.48,12,5,126,5,114
0,3,2,319,0,2.42,12,5,126,13,114
0,3,0,78,1,5.08,13,5,127,18,114
0,3,1,84,0,2.58,13,5,127,7,114
0,3,1,84,0,2.48,13,5,127,21,114
0,3,1,94,0,2.48,13,5,127,15,114
0,3,2,144,0,2.75,13,5,127,19,114
0,3,0,78,1,7.1,13,5,127,14,114
0,3,0,79,1,6.5,13,5,127,12,114
0,3,2,144,0,2.4,13,5,127,6,114
0,3,2,144,0,2.52,13,5,127,8,114
0,3,2,144,0,2.75,13,5,127,20,114
0,3,2,144,0,2.62,13,5,127,21,114
0,3,2,189,0,2.42,13,5,127,13,114
0,3,2,189,0,2.55,13,5,127,15,114
0,3,2,189,0,2.57,13,5,127,17,114
0,3,2,269,0,2.53,13,5,127,10,114
0,3,0,78,1,5.08,14,5,128,18,114
0,3,1,84,0,2.48,14,5,128,15,114
0,3,1,84,0,2.48,14,5,128,21,114
0,3,2,144,0,2.48,14,5,128,14,114
0,3,0,78,1,7.1,14,5,128,14,114
0,3,1,84,0,2.58,14,5,128,7,114
0,3,2,144,0,2.35,14,5,128,6,114
0,3,2,144,0,2.47,14,5,128,8,114
0,3,2,144,0,2.37,14,5,128,12,114
0,3,2,144,0,2.62,14,5,128,21,114
0,3,2,219,0,2.48,14,5,128,17,114
0,3,0,78,1,5.08,15,5,129,18,114
0,3,1,84,0,2.48,15,5,129,15,114
0,3,1,84,0,2.48,15,5,129,21,114
0,3,2,144,0,2.48,15,5,129,17,114
0,3,0,78,1,7.1,15,5,129,14,114
0,3,1,84,0,2.58,15,5,129,7,114
0,3,2,144,0,2.35,15,5,129,6,114
0,3,2,144,0,2.47,15,5,129,8,114
0,3,2,144,0,2.38,15,5,129,12,114
0,3,2,144,0,2.62,15,5,129,21,114
0,3,2,189,0,2.48,15,5,129,14,114
0,3,0,79,1,6.5,16,5,130,12,114
0,3,1,149,0,2.48,16,5,130,15,114
0,3,2,219,0,2.48,16,5,130,14,114
0,3,0,79,1,7.18,16,5,130,17,114
0,3,1,129,0,2.58,16,5,130,7,114
0,3,1,149,0,2.48,16,5,130,21,114
0,3,2,189,0,2.35,16,5,130,6,114
0,3,2,189,0,2.47,16,5,130,8,114
0,3,2,189,0,2.62,16,5,130,21,114
0,3,2,269,0,2.48,16,5,130,17,114
0,3,2,319,0,2.57,16,5,130,19,114
0,3,0,78,1,7.1,17,5,131,14,114
0,3,1,129,0,2.48,17,5,131,21,114
0,3,1,174,0,2.48,17,5,131,15,114
0,3,2,219,0,2.57,17,5,131,19,114
0,3,0,79,1,6.18,17,5,131,18,114
0,3,0,137,1,4.53,17,5,131,14,114
0,3,0,137,1,5.08,17,5,131,18,114
0,3,2,189,0,2.35,17,5,131,6,114
0,3,2,189,0,2.62,17,5,131,21,114
0,3,1,204,0,2.58,17,5,131,7,114
0,3,2,219,0,2.47,17,5,131,8,114
0,3,2,269,0,2.48,17,5,131,14,114
0,3,2,269,0,2.48,17,5,131,17,114
0,3,0,78,1,4.38,18,5,132,14,114
0,3,1,129,0,2.48,18,5,132,15,114
0,3,2,189,0,2.48,18,5,132,14,114
0,3,0,79,1,6.57,18,5,132,7,114
0,3,0,79,1,6.5,18,5,132,12,114
0,3,0,79,1,6.18,18,5,132,18,114
0,3,1,129,0,2.53,18,5,132,8,114
0,3,1,129,0,2.48,18,5,132,21,114
0,3,2,189,0,2.35,18,5,132,6,114
0,3,2,189,0,2.47,18,5,132,8,114
0,3,2,189,0,2.38,18,5,132,12,114
0,3,2,189,0,2.62,18,5,132,21,114
0,3,2,219,0,2.57,18,5,132,19,114
0,3,1,129,0,2.58,19,5,133,7,114
0,3,1,129,0,2.48,19,5,133,15,114
0,3,2,219,0,2.57,19,5,133,19,114
0,3,1,174,0,2.48,19,5,133,21,114
0,3,2,189,0,2.35,19,5,133,6,114
0,3,2,189,0,2.47,19,5,133,8,114
0,3,2,189,0,2.62,19,5,133,21,114
0,3,2,269,0,2.48,19,5,133,14,114
0,3,2,269,0,2.48,19,5,133,17,114
0,3,0,78,1,5.08,20,5,134,18,114
0,3,1,129,0,2.48,20,5,134,15,114
0,3,2,189,0,2.48,20,5,134,14,114
0,3,0,79,1,7.53,20,5,134,12,114
0,3,1,129,0,2.58,20,5,134,7,114
0,3,1,129,0,2.48,20,5,134,21,114
0,3,2,189,0,2.35,20,5,134,6,114
0,3,2,189,0,2.47,20,5,134,8,114
0,3,2,189,0,2.48,20,5,134,17,114
0,3,2,189,0,2.57,20,5,134,19,114
0,3,2,189,0,2.62,20,5,134,21,114
0,3,2,269,0,2.38,20,5,134,12,114
0,3,0,78,1,4.53,21,5,135,14,114
0,3,1,84,0,2.5,21,5,135,15,114
0,3,1,84,0,2.58,21,5,135,7,114
0,3,1,84,0,2.48,21,5,135,21,114
0,3,2,94,0,2.35,21,5,135,6,114
0,3,2,94,0,2.47,21,5,135,8,114
0,3,2,94,0,2.62,21,5,135,21,114
0,3,2,139,0,2.38,21,5,135,12,114
0,3,2,169,0,2.57,21,5,135,19,114
0,3,0,78,1,5.08,22,5,136,18,114
0,3,1,84,0,2.48,22,5,136,15,114
0,3,2,139,0,2.48,22,5,136,14,114
0,3,1,84,0,2.58,22,5,136,7,114
0,3,1,84,0,2.48,22,5,136,21,114
0,3,2,94,0,2.62,22,5,136,21,114
0,3,2,109,0,2.35,22,5,136,6,114
0,3,2,109,0,2.47,22,5,136,8,114
0,3,2,169,0,2.38,22,5,136,12,114
0,3,2,169,0,2.48,22,5,136,17,114
0,3,2,169,0,2.57,22,5,136,19,114
0,3,1,149,0,2.48,23,5,137,15,114
0,3,2,169,0,2.62,23,5,137,21,114
0,3,0,143,1,7.1,23,5,137,14,114
0,3,1,149,0,2.48,23,5,137,21,114
0,3,1,174,0,2.58,23,5,137,7,114
0,3,2,199,0,2.35,23,5,137,6,114
0,3,2,199,0,2.47,23,5,137,8,114
0,3,2,269,0,2.48,23,5,137,14,114
0,3,2,269,0,2.48,23,5,137,17,114
0,3,2,269,0,2.57,23,5,137,19,114
0,3,2,319,0,2.38,23,5,137,12,114
0,3,2,199,0,2.35,24,5,138,6,114
0,3,1,204,0,2.48,24,5,138,21,114
0,3,0,149,2,9.68,24,5,138,12,114
0,3,2,269,0,2.47,24,5,138,8,114
0,3,1,284,0,2.58,24,5,138,7,114
0,3,1,284,0,2.48,24,5,138,15,114
0,3,2,319,0,2.48,24,5,138,14,114
0,3,2,379,0,2.38,24,5,138,12,114
0,3,2,379,0,2.48,24,5,138,17,114
0,3,1,84,0,2.48,25,5,139,21,114
0,3,2,94,0,2.62,25,5,139,21,114
0,3,1,109,0,2.48,25,5,139,15,114
0,3,0,79,1,6.18,25,5,139,18,114
0,3,0,93,1,6.5,25,5,139,12,114
0,3,2,139,0,2.35,25,5,139,6,114
0,3,2,169,0,2.47,25,5,139,8,114
0,3,1,174,0,2.53,25,5,139,8,114
0,3,2,199,0,2.48,25,5,139,14,114
0,3,2,269,0,2.48,25,5,139,17,114
0,3,2,269,0,2.57,25,5,139,19,114
0,3,1,109,0,2.58,26,5,140,7,114
0,3,1,109,0,2.48,26,5,140,21,114
0,3,1,149,0,2.48,26,5,140,15,114
0,3,2,169,0,2.62,26,5,140,21,114
0,3,0,143,1,4.53,26,5,140,5,114
0,3,2,169,0,2.35,26,5,140,6,114
0,3,2,199,0,2.47,26,5,140,8,114
0,3,2,319,0,2.38,26,5,140,12,114
0,3,2,319,0,2.48,26,5,140,14,114
0,3,2,319,0,2.48,26,5,140,17,114
0,3,2,319,0,2.57,26,5,140,19,114
0,3,1,84,0,2.58,27,5,141,7,114
0,3,1,84,0,2.48,27,5,141,21,114
0,3,2,94,0,2.62,27,5,141,21,114
