Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
0,2,214,0,2.5,3,4,116,20
0,2,224,0,2.67,3,4,116,8
0,2,224,0,2.78,3,4,116,19
0,2,203,1,7.27,3,4,116,11
0,2,203,1,6.07,3,4,116,14
0,2,204,1,5.75,3,4,116,14
0,2,204,1,5.85,3,4,116,16
0,2,214,0,2.5,4,4,117,20
0,2,224,0,2.67,4,4,117,8
0,2,224,0,2.78,4,4,117,19
0,2,203,1,7.25,4,4,117,8
0,2,203,1,7.27,4,4,117,11
0,2,203,1,6.07,4,4,117,14
0,2,204,1,5.77,4,4,117,14
0,2,133,1,5.83,5,4,118,11
0,2,214,0,2.5,5,4,118,20
0,2,224,0,2.78,5,4,118,19
0,2,203,1,6.07,5,4,118,14
0,2,204,1,5.77,5,4,118,14
0,2,233,1,4.82,5,4,118,10
0,2,214,0,2.5,6,4,119,20
0,2,224,0,2.67,6,4,119,8
0,2,224,0,2.78,6,4,119,19
0,2,264,0,2.72,6,4,119,15
0,2,204,1,5.77,6,4,119,14
0,2,204,1,5.87,6,4,119,16
0,2,164,0,2.5,7,4,120,20
0,2,174,0,2.67,7,4,120,8
0,2,174,0,2.78,7,4,120,19
0,2,142,1,7.27,7,4,120,11
0,2,142,1,6.07,7,4,120,14
0,2,143,1,5.77,7,4,120,14
0,2,123,1,5.33,8,4,121,11
0,2,164,0,2.5,8,4,121,20
0,2,174,0,2.78,8,4,121,19
0,2,142,1,6.28,8,4,121,11
0,2,143,1,5.8,8,4,121,8
0,2,143,1,5.75,8,4,121,14
0,2,164,0,2.37,9,5,122,9
0,2,174,0,2.67,9,5,122,8
0,2,174,0,2.78,9,5,122,19
0,2,142,1,7.27,9,5,122,11
0,2,142,1,6.07,9,5,122,14
0,2,143,1,5.77,9,5,122,14
0,2,164,0,2.37,10,5,123,9
0,2,174,0,2.67,10,5,123,8
0,2,174,0,2.78,10,5,123,19
0,2,142,1,7.27,10,5,123,11
0,2,142,1,6.07,10,5,123,14
0,2,143,1,5.8,10,5,123,8
0,2,143,1,5.85,10,5,123,16
0,2,164,0,2.37,11,5,124,9
0,2,174,0,2.67,11,5,124,8
0,2,174,0,2.78,11,5,124,19
0,2,142,1,7.27,11,5,124,11
0,2,142,1,6.07,11,5,124,14
0,2,143,1,5.77,11,5,124,14
