Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,0,452,0,3.03,3,116,12,116
0,0,452,0,3.35,3,116,16,116
0,0,289,2,11.53,3,116,9,116
0,0,403,1,5.87,3,116,8,116
0,0,435,1,8.53,3,116,2,116
0,0,452,0,3.07,3,116,5,116
0,0,452,0,3.3,3,116,6,116
0,0,452,0,3.17,3,116,7,116
0,0,452,0,3.32,3,116,7,116
0,0,452,0,3.48,3,116,9,116
0,0,452,0,3.12,3,116,9,116
0,0,452,0,3.1,3,116,10,116
0,0,452,0,3.32,3,116,11,116
0,0,452,0,3.45,3,116,15,116
0,0,452,0,3.12,3,116,15,116
0,0,452,0,3.3,3,116,17,116
0,0,452,0,3.38,3,116,17,116
0,0,452,0,3.37,3,116,20,116
0,0,452,0,3.47,3,116,20,116
0,0,452,0,3.35,3,116,21,116
0,0,452,0,3.33,3,116,21,116
0,0,462,0,3.15,3,116,7,116
0,0,462,0,3.25,3,116,8,116
0,0,462,0,3.25,3,116,9,116
0,0,462,0,3.23,3,116,15,116
0,0,462,0,3.42,3,116,17,116
0,0,462,0,3.47,3,116,18,116
0,0,462,0,3.43,3,116,19,116
0,0,462,0,3.33,3,116,21,116
0,0,394,0,3.03,4,117,12,117
0,0,394,0,3.35,4,117,16,117
0,0,287,2,17.78,4,117,14,117
0,0,394,0,3.07,4,117,5,117
0,0,394,0,3.25,4,117,6,117
0,0,394,0,3.23,4,117,7,117
0,0,394,0,3.17,4,117,7,117
0,0,394,0,3.48,4,117,9,117
0,0,394,0,3.12,4,117,9,117
0,0,394,0,3.1,4,117,10,117
0,0,394,0,3.32,4,117,11,117
0,0,394,0,3.45,4,117,15,117
0,0,394,0,3.12,4,117,15,117
0,0,394,0,3.3,4,117,17,117
0,0,394,0,3.38,4,117,17,117
0,0,394,0,3.45,4,117,20,117
0,0,394,0,3.37,4,117,20,117
0,0,394,0,3.32,4,117,21,117
0,0,394,0,3.33,4,117,21,117
0,0,403,1,6.93,4,117,11,117
0,0,404,0,3.15,4,117,7,117
0,0,404,0,3.25,4,117,8,117
0,0,404,0,3.25,4,117,9,117
0,0,404,0,3.2,4,117,14,117
0,0,404,0,3.23,4,117,15,117
0,0,404,0,3.42,4,117,17,117
0,0,404,0,3.47,4,117,18,117
0,0,404,0,3.43,4,117,19,117
0,0,223,1,5.63,5,118,11,118
0,0,394,0,3.13,5,118,13,118
0,0,394,0,3.35,5,118,16,118
0,0,404,0,3.2,5,118,14,118
0,0,310,2,12.55,5,118,7,118
0,0,394,0,3.3,5,118,6,118
0,0,394,0,3.32,5,118,7,118
0,0,394,0,3.48,5,118,9,118
0,0,394,0,3.12,5,118,10,118
0,0,394,0,3.32,5,118,11,118
0,0,394,0,3.45,5,118,15,118
0,0,394,0,3.23,5,118,17,118
0,0,394,0,3.38,5,118,17,118
0,0,394,0,3.47,5,118,20,118
0,0,394,0,3.35,5,118,20,118
0,0,394,0,3.35,5,118,21,118
0,0,394,0,3.28,5,118,21,118
0,0,404,0,3.15,5,118,7,118
0,0,404,0,3.25,5,118,9,118
0,0,404,0,3.2,5,118,11,118
0,0,404,0,3.23,5,118,15,118
0,0,404,0,3.42,5,118,17,118
0,0,394,0,3.03,6,119,12,119
0,0,394,0,3.35,6,119,16,119
0,0,342,2,11.53,6,119,9,119
0,0,353,1,11.38,6,119,11,119
0,0,394,0,3.07,6,119,5,119
0,0,394,0,3.25,6,119,6,119
0,0,394,0,3.23,6,119,7,119
0,0,394,0,3.17,6,119,7,119
0,0,394,0,3.48,6,119,9,119
0,0,394,0,3.12,6,119,9,119
0,0,394,0,3.1,6,119,10,119
0,0,394,0,3.32,6,119,11,119
0,0,394,0,3.45,6,119,15,119
0,0,394,0,3.12,6,119,15,119
0,0,394,0,3.3,6,119,17,119
0,0,394,0,3.38,6,119,17,119
0,0,394,0,3.45,6,119,20,119
0,0,394,0,3.37,6,119,20,119
0,0,394,0,3.32,6,119,21,119
0,0,394,0,3.33,6,119,21,119
0,0,404,0,3.15,6,119,7,119
0,0,404,0,3.25,6,119,8,119
0,0,404,0,3.25,6,119,9,119
0,0,404,0,3.2,6,119,14,119
0,0,404,0,3.23,6,119,15,119
0,0,404,0,3.42,6,119,17,119
0,0,404,0,3.47,6,119,18,119
0,0,404,0,3.43,6,119,19,119
0,0,258,1,5.47,7,120,11,120
0,0,394,0,3.03,7,120,12,120
0,0,394,0,3.35,7,120,16,120
0,0,287,1,15.68,7,120,18,120
0,0,332,1,5.78,7,120,17,120
0,0,394,0,3.07,7,120,5,120
0,0,394,0,3.25,7,120,6,120
0,0,394,0,3.23,7,120,7,120
0,0,394,0,3.17,7,120,7,120
0,0,394,0,3.48,7,120,9,120
0,0,394,0,3.12,7,120,9,120
0,0,394,0,3.1,7,120,10,120
0,0,394,0,3.32,7,120,11,120
0,0,394,0,3.45,7,120,15,120
0,0,394,0,3.12,7,120,15,120
0,0,394,0,3.3,7,120,17,120
0,0,394,0,3.38,7,120,17,120
0,0,394,0,3.45,7,120,20,120
0,0,394,0,3.37,7,120,20,120
0,0,394,0,3.32,7,120,21,120
0,0,394,0,3.33,7,120,21,120
0,0,404,0,3.15,7,120,7,120
0,0,404,0,3.25,7,120,8,120
0,0,404,0,3.25,7,120,9,120
0,0,404,0,3.2,7,120,14,120
0,0,404,0,3.23,7,120,15,120
0,0,404,0,3.42,7,120,17,120
0,0,404,0,3.47,7,120,18,120
0,0,404,0,3.43,7,120,19,120
0,0,274,0,3.03,8,121,12,121
0,0,274,0,3.35,8,121,16,121
0,0,191,1,7.67,8,121,13,121
0,0,212,1,16.45,8,121,18,121
0,0,274,0,3.07,8,121,5,121
0,0,274,0,3.3,8,121,6,121
0,0,274,0,3.17,8,121,7,121
0,0,274,0,3.32,8,121,7,121
0,0,274,0,3.48,8,121,9,121
0,0,274,0,3.12,8,121,9,121
0,0,274,0,3.1,8,121,10,121
0,0,274,0,3.45,8,121,15,121
0,0,274,0,3.12,8,121,15,121
0,0,274,0,3.3,8,121,17,121
0,0,274,0,3.38,8,121,17,121
0,0,274,0,3.37,8,121,20,121
0,0,274,0,3.47,8,121,20,121
0,0,274,0,3.35,8,121,21,121
0,0,284,0,3.15,8,121,7,121
0,0,284,0,3.25,8,121,8,121
0,0,284,0,3.25,8,121,9,121
0,0,284,0,3.2,8,121,14,121
0,0,284,0,3.23,8,121,15,121
0,0,284,0,3.42,8,121,17,121
0,0,284,0,3.47,8,121,18,121
0,0,284,0,3.43,8,121,19,121
0,0,274,0,3.17,9,122,14,122
0,0,274,0,3.35,9,122,16,122
0,0,284,0,3.42,9,122,17,122
0,0,212,1,16.45,9,122,18,122
0,0,244,1,6.53,9,122,16,122
0,0,274,0,3.07,9,122,6,122
0,0,274,0,3.25,9,122,6,122
0,0,274,0,3.23,9,122,7,122
0,0,274,0,3.17,9,122,7,122
0,0,274,0,3.17,9,122,8,122
0,0,274,0,3.48,9,122,9,122
0,0,274,0,3.13,9,122,9,122
0,0,274,0,3.17,9,122,15,122
0,0,274,0,3.38,9,122,17,122
0,0,274,0,3.23,9,122,17,122
0,0,274,0,3.32,9,122,21,122
0,0,274,0,3.32,9,122,21,122
0,0,284,0,3.15,9,122,7,122
0,0,284,0,3.25,9,122,8,122
0,0,284,0,3.25,9,122,9,122
0,0,284,0,3.43,9,122,19,122
0,0,299,0,3.1,9,122,11,122
0,0,319,0,3.45,9,122,15,122
0,0,379,0,3.45,9,122,20,122
0,0,389,0,3.2,9,122,11,122
0,0,389,0,3.2,9,122,14,122
0,0,389,0,3.23,9,122,15,122
0,0,389,0,3.47,9,122,18,122
0,0,274,0,3.17,10,123,14,123
0,0,274,0,3.35,10,123,16,123
0,0,212,1,12.13,10,123,10,123
0,0,212,1,18.87,10,123,17,123
0,0,244,1,9.18,10,123,14,123
0,0,264,1,29.38,10,123,11,123
0,0,274,0,3.07,10,123,6,123
0,0,274,0,3.3,10,123,6,123
0,0,274,0,3.32,10,123,7,123
0,0,274,0,3.17,10,123,7,123
0,0,274,0,3.17,10,123,8,123
0,0,274,0,3.48,10,123,9,123
0,0,274,0,3.13,10,123,9,123
0,0,274,0,3.1,10,123,11,123
0,0,274,0,3.45,10,123,15,123
0,0,274,0,3.17,10,123,15,123
0,0,274,0,3.38,10,123,17,123
0,0,274,0,3.23,10,123,17,123
0,0,274,0,3.35,10,123,21,123
0,0,274,0,3.32,10,123,21,123
0,0,284,0,3.17,10,123,7,123
0,0,284,0,3.27,10,123,8,123
0,0,284,0,3.22,10,123,11,123
0,0,284,0,3.23,10,123,15,123
0,0,284,0,3.42,10,123,17,123
0,0,284,0,3.48,10,123,18,123
0,0,284,0,3.45,10,123,19,123
0,0,284,0,3.33,10,123,21,123
0,0,319,0,3.32,10,123,11,123
0,0,379,0,3.47,10,123,20,123
0,0,274,0,3.17,11,124,14,124
0,0,274,0,3.35,11,124,16,124
0,0,212,1,18.8,11,124,15,124
0,0,214,1,20.55,11,124,11,124
0,0,244,1,8.22,11,124,16,124
0,0,274,0,3.07,11,124,6,124
0,0,274,0,3.25,11,124,6,124
0,0,274,0,3.23,11,124,7,124
0,0,274,0,3.17,11,124,7,124
0,0,274,0,3.17,11,124,8,124
0,0,274,0,3.13,11,124,9,124
0,0,274,0,3.17,11,124,15,124
0,0,274,0,3.38,11,124,17,124
0,0,274,0,3.23,11,124,17,124
0,0,274,0,3.45,11,124,20,124
0,0,274,0,3.32,11,124,21,124
0,0,274,0,3.32,11,124,21,124
0,0,284,0,3.17,11,124,7,124
0,0,284,0,3.27,11,124,8,124
0,0,284,0,3.23,11,124,15,124
0,0,284,0,3.42,11,124,17,124
0,0,284,0,3.48,11,124,18,124
0,0,284,0,3.45,11,124,19,124
0,0,284,0,3.33,11,124,21,124
0,0,299,0,3.1,11,124,11,124
0,0,319,0,3.48,11,124,9,124
0,0,319,0,3.45,11,124,15,124
0,0,379,0,3.32,11,124,11,124
0,0,389,0,3.27,11,124,9,124
0,0,274,0,3.17,12,125,15,125
0,0,274,0,3.35,12,125,16,125
0,0,222,1,11.9,12,125,11,125
0,0,244,1,6.53,12,125,16,125
0,0,274,0,3.3,12,125,6,125
0,0,274,0,3.32,12,125,7,125
0,0,274,0,3.48,12,125,9,125
0,0,274,0,3.13,12,125,9,125
0,0,274,0,3.45,12,125,15,125
0,0,274,0,3.38,12,125,17,125
0,0,274,0,3.23,12,125,17,125
0,0,274,0,3.47,12,125,20,125
0,0,274,0,3.35,12,125,21,125
0,0,274,0,3.32,12,125,21,125
0,0,284,0,3.17,12,125,7,125
0,0,284,0,3.27,12,125,9,125
0,0,284,0,3.22,12,125,11,125
0,0,284,0,3.23,12,125,15,125
0,0,284,0,3.42,12,125,17,125
0,0,284,0,3.48,12,125,18,125
0,0,299,0,3.1,12,125,11,125
0,0,274,0,3.48,13,126,9,126
0,0,274,0,3.17,13,126,15,126
0,0,274,0,3.07,13,126,6,126
0,0,274,0,3.25,13,126,6,126
0,0,274,0,3.23,13,126,7,126
0,0,274,0,3.17,13,126,7,126
0,0,274,0,3.17,13,126,8,126
0,0,274,0,3.13,13,126,9,126
0,0,274,0,3.23,13,126,17,126
0,0,274,0,3.45,13,126,20,126
0,0,274,0,3.32,13,126,21,126
0,0,274,0,3.32,13,126,21,126
0,0,283,1,7.35,13,126,7,126
0,0,284,0,3.17,13,126,7,126
0,0,284,0,3.27,13,126,8,126
0,0,284,0,3.48,13,126,18,126
0,0,284,0,3.45,13,126,19,126
0,0,284,0,3.33,13,126,21,126
0,0,299,0,3.1,13,126,11,126
0,0,299,0,3.17,13,126,14,126
0,0,379,0,3.35,13,126,16,126
0,0,379,0,3.38,13,126,17,126
0,0,389,0,3.27,13,126,9,126
0,0,389,0,3.22,13,126,11,126
0,0,389,0,3.2,13,126,14,126
0,0,389,0,3.23,13,126,15,126
0,0,494,0,3.32,13,126,11,126
0,0,274,0,3.1,14,127,11,127
0,0,274,0,3.12,14,127,16,127
0,0,284,0,3.22,14,127,11,127
0,0,242,1,8.93,14,127,13,127
0,0,251,1,15.38,14,127,18,127
0,0,274,0,3.05,14,127,6,127
0,0,274,0,3.07,14,127,6,127
0,0,274,0,3.03,14,127,7,127
0,0,274,0,3.17,14,127,7,127
0,0,274,0,3.17,14,127,8,127
0,0,274,0,3.12,14,127,9,127
0,0,274,0,3.17,14,127,14,127
0,0,274,0,3.25,14,127,15,127
0,0,274,0,3.17,14,127,15,127
0,0,274,0,3.22,14,127,17,127
0,0,274,0,3.23,14,127,17,127
0,0,274,0,3.12,14,127,21,127
0,0,274,0,3.32,14,127,21,127
0,0,283,1,7.0,14,127,16,127
0,0,284,0,3.17,14,127,7,127
0,0,284,0,3.27,14,127,8,127
0,0,284,0,3.27,14,127,9,127
0,0,284,0,3.2,14,127,14,127
0,0,284,0,3.23,14,127,15,127
0,0,284,0,3.42,14,127,17,127
0,0,284,0,3.48,14,127,18,127
0,0,284,0,3.45,14,127,19,127
0,0,284,0,3.33,14,127,21,127
0,0,319,0,3.32,14,127,9,127
0,0,319,0,3.13,14,127,11,127
0,0,204,0,3.17,15,128,15,128
0,0,204,0,3.25,15,128,20,128
0,0,186,1,8.0,15,128,16,128
0,0,204,0,3.05,15,128,6,128
0,0,204,0,3.07,15,128,6,128
0,0,204,0,3.17,15,128,7,128
0,0,204,0,3.17,15,128,8,128
0,0,204,0,3.12,15,128,9,128
0,0,204,0,3.23,15,128,17,128
0,0,204,0,3.12,15,128,20,128
0,0,204,0,3.32,15,128,21,128
0,0,213,1,7.08,15,128,9,128
0,0,214,0,2.92,15,128,7,128
0,0,214,0,3.27,15,128,15,128
0,0,214,0,3.33,15,128,18,128
0,0,214,0,3.38,15,128,19,128
0,0,229,0,3.1,15,128,11,128
0,0,249,0,3.03,15,128,7,128
0,0,249,0,2.92,15,128,8,128
0,0,249,0,3.32,15,128,9,128
0,0,249,0,3.25,15,128,14,128
0,0,249,0,3.12,15,128,16,128
0,0,249,0,3.25,15,128,16,128
0,0,249,0,3.22,15,128,17,128
0,0,284,0,3.13,15,128,11,128
0,0,319,0,3.13,15,128,11,128
0,0,204,0,3.1,16,129,11,129
0,0,204,0,3.12,16,129,16,129
0,0,214,0,3.27,16,129,15,129
0,0,204,0,3.05,16,129,6,129
0,0,204,0,3.07,16,129,6,129
0,0,204,0,3.03,16,129,7,129
0,0,204,0,3.17,16,129,7,129
0,0,204,0,3.17,16,129,8,129
0,0,204,0,3.12,16,129,9,129
0,0,204,0,3.17,16,129,14,129
0,0,204,0,3.17,16,129,15,129
0,0,204,0,3.23,16,129,17,129
0,0,204,0,3.32,16,129,21,129
0,0,213,1,7.08,16,129,9,129
0,0,214,0,2.92,16,129,7,129
0,0,214,0,2.92,16,129,8,129
0,0,214,0,3.25,16,129,16,129
0,0,249,0,3.25,16,129,14,129
0,0,249,0,3.22,16,129,17,129
0,0,249,0,3.33,16,129,18,129
0,0,249,0,3.38,16,129,19,129
0,0,284,0,2.92,16,129,9,129
0,0,284,0,3.13,16,129,11,129
0,0,319,0,3.32,16,129,9,129
0,0,319,0,3.25,16,129,15,129
0,0,319,0,3.25,16,129,20,129
0,0,319,0,3.12,16,129,21,129
0,0,204,0,3.17,17,130,14,130
0,0,249,0,3.22,17,130,17,130
0,0,204,0,3.07,17,130,6,130
0,0,204,0,3.17,17,130,7,130
0,0,204,0,3.17,17,130,8,130
0,0,204,0,3.12,17,130,9,130
0,0,204,0,3.17,17,130,15,130
0,0,204,0,3.32,17,130,21,130
0,0,212,1,5.42,17,130,6,130
0,0,213,1,7.0,17,130,16,130
0,0,214,0,2.92,17,130,7,130
0,0,214,0,3.25,17,130,16,130
0,0,229,0,3.1,17,130,11,130
0,0,249,0,3.05,17,130,6,130
0,0,249,0,3.03,17,130,7,130
0,0,249,0,2.92,17,130,8,130
0,0,249,0,2.92,17,130,9,130
0,0,249,0,3.32,17,130,9,130
0,0,249,0,3.33,17,130,18,130
0,0,249,0,3.25,17,130,20,130
0,0,249,0,3.12,17,130,20,130
0,0,249,0,3.22,17,130,21,130
0,0,284,0,3.13,17,130,11,130
0,0,284,0,3.25,17,130,14,130
0,0,284,0,3.38,17,130,19,130
0,0,319,0,3.25,17,130,15,130
0,0,379,0,3.13,17,130,11,130
0,0,484,0,3.12,17,130,16,130
0,0,204,0,3.1,18,131,11,131
0,0,204,0,3.25,18,131,20,131
0,0,202,1,9.25,18,131,15,131
0,0,204,0,3.07,18,131,6,131
0,0,204,0,3.17,18,131,7,131
0,0,204,0,3.17,18,131,8,131
0,0,204,0,3.12,18,131,9,131
0,0,204,0,3.23,18,131,17,131
0,0,204,0,3.12,18,131,21,131
0,0,204,0,3.32,18,131,21,131
0,0,214,0,2.92,18,131,7,131
0,0,214,0,2.92,18,131,8,131
0,0,214,0,3.25,18,131,16,131
0,0,214,0,3.33,18,131,18,131
0,0,214,0,3.38,18,131,19,131
0,0,214,0,3.22,18,131,21,131
0,0,229,0,3.17,18,131,14,131
0,0,229,0,3.17,18,131,15,131
0,0,249,0,3.05,18,131,6,131
0,0,249,0,3.03,18,131,7,131
0,0,249,0,2.92,18,131,9,131
0,0,249,0,3.12,18,131,16,131
0,0,249,0,3.22,18,131,17,131
0,0,284,0,3.13,18,131,11,131
0,0,284,0,3.25,18,131,14,131
0,0,319,0,3.32,18,131,9,131
0,0,319,0,3.25,18,131,15,131
0,0,204,0,3.12,19,132,9,132
0,0,204,0,3.25,19,132,20,132
0,0,196,1,6.75,19,132,16,132
0,0,204,0,3.05,19,132,6,132
0,0,204,0,3.03,19,132,7,132
0,0,204,0,3.23,19,132,17,132
0,0,204,0,3.12,19,132,20,132
0,0,204,0,3.32,19,132,21,132
0,0,213,1,9.1,19,132,7,132
0,0,213,1,5.3,19,132,14,132
0,0,214,0,2.92,19,132,7,132
0,0,214,0,3.25,19,132,16,132
0,0,214,0,3.33,19,132,18,132
0,0,229,0,3.1,19,132,11,132
0,0,229,0,3.17,19,132,15,132
0,0,249,0,3.32,19,132,9,132
0,0,249,0,3.25,19,132,14,132
0,0,249,0,3.28,19,132,17,132
0,0,284,0,2.92,19,132,9,132
0,0,319,0,3.12,19,132,16,132
