Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
0,1,394,0,3.03,3,4,116,12
0,1,394,0,3.35,3,4,116,16
0,1,289,2,11.53,3,4,116,9
0,1,333,1,5.78,3,4,116,17
0,1,394,0,3.07,3,4,116,5
0,1,394,0,3.3,3,4,116,6
0,1,394,0,3.17,3,4,116,7
0,1,394,0,3.32,3,4,116,7
0,1,394,0,3.48,3,4,116,9
0,1,394,0,3.12,3,4,116,9
0,1,394,0,3.1,3,4,116,10
0,1,394,0,3.45,3,4,116,15
0,1,394,0,3.12,3,4,116,15
0,1,394,0,3.3,3,4,116,17
0,1,394,0,3.38,3,4,116,17
0,1,394,0,3.37,3,4,116,20
0,1,394,0,3.47,3,4,116,20
0,1,394,0,3.35,3,4,116,21
0,1,394,0,3.33,3,4,116,21
0,1,403,1,6.93,3,4,116,11
0,1,404,0,3.15,3,4,116,7
0,1,404,0,3.25,3,4,116,8
0,1,404,0,3.25,3,4,116,9
0,1,404,0,3.2,3,4,116,14
0,1,404,0,3.23,3,4,116,15
0,1,404,0,3.42,3,4,116,17
0,1,404,0,3.47,3,4,116,18
0,1,404,0,3.43,3,4,116,19
0,1,404,0,3.33,3,4,116,21
0,1,394,0,3.03,4,4,117,12
0,1,394,0,3.35,4,4,117,16
0,1,311,2,12.53,4,4,117,8
0,1,394,0,3.07,4,4,117,5
0,1,394,0,3.25,4,4,117,6
0,1,394,0,3.23,4,4,117,7
0,1,394,0,3.17,4,4,117,7
0,1,394,0,3.48,4,4,117,9
0,1,394,0,3.12,4,4,117,9
0,1,394,0,3.1,4,4,117,10
0,1,394,0,3.32,4,4,117,11
0,1,394,0,3.45,4,4,117,15
0,1,394,0,3.12,4,4,117,15
0,1,394,0,3.3,4,4,117,17
0,1,394,0,3.38,4,4,117,17
0,1,394,0,3.45,4,4,117,20
0,1,394,0,3.37,4,4,117,20
0,1,394,0,3.32,4,4,117,21
0,1,394,0,3.33,4,4,117,21
0,1,403,1,6.93,4,4,117,11
0,1,404,0,3.15,4,4,117,7
0,1,404,0,3.25,4,4,117,8
0,1,404,0,3.25,4,4,117,9
0,1,404,0,3.2,4,4,117,14
0,1,404,0,3.23,4,4,117,15
0,1,404,0,3.42,4,4,117,17
0,1,404,0,3.47,4,4,117,18
0,1,404,0,3.43,4,4,117,19
0,1,223,1,5.63,5,4,118,11
0,1,394,0,3.13,5,4,118,13
0,1,394,0,3.35,5,4,118,16
0,1,404,0,3.2,5,4,118,14
0,1,310,2,12.55,5,4,118,7
0,1,394,0,3.3,5,4,118,6
0,1,394,0,3.32,5,4,118,7
0,1,394,0,3.48,5,4,118,9
0,1,394,0,3.12,5,4,118,10
0,1,394,0,3.32,5,4,118,11
0,1,394,0,3.45,5,4,118,15
0,1,394,0,3.23,5,4,118,17
0,1,394,0,3.38,5,4,118,17
0,1,394,0,3.47,5,4,118,20
0,1,394,0,3.35,5,4,118,20
0,1,394,0,3.35,5,4,118,21
0,1,394,0,3.28,5,4,118,21
0,1,404,0,3.15,5,4,118,7
0,1,404,0,3.25,5,4,118,9
0,1,404,0,3.2,5,4,118,11
0,1,404,0,3.23,5,4,118,15
0,1,404,0,3.42,5,4,118,17
0,1,394,0,3.03,6,4,119,12
0,1,394,0,3.35,6,4,119,16
0,1,342,2,11.53,6,4,119,9
0,1,353,1,11.38,6,4,119,11
0,1,394,0,3.07,6,4,119,5
0,1,394,0,3.25,6,4,119,6
0,1,394,0,3.23,6,4,119,7
0,1,394,0,3.17,6,4,119,7
0,1,394,0,3.48,6,4,119,9
0,1,394,0,3.12,6,4,119,9
0,1,394,0,3.1,6,4,119,10
0,1,394,0,3.32,6,4,119,11
0,1,394,0,3.45,6,4,119,15
0,1,394,0,3.12,6,4,119,15
0,1,394,0,3.3,6,4,119,17
0,1,394,0,3.38,6,4,119,17
0,1,394,0,3.45,6,4,119,20
0,1,394,0,3.37,6,4,119,20
0,1,394,0,3.32,6,4,119,21
0,1,394,0,3.33,6,4,119,21
0,1,404,0,3.15,6,4,119,7
0,1,404,0,3.25,6,4,119,8
0,1,404,0,3.25,6,4,119,9
0,1,404,0,3.2,6,4,119,14
0,1,404,0,3.23,6,4,119,15
0,1,404,0,3.42,6,4,119,17
0,1,404,0,3.47,6,4,119,18
0,1,404,0,3.43,6,4,119,19
0,1,274,0,3.03,7,4,120,12
0,1,274,0,3.35,7,4,120,16
0,1,222,1,12.83,7,4,120,7
0,1,243,1,5.47,7,4,120,11
0,1,274,0,3.07,7,4,120,5
0,1,274,0,3.25,7,4,120,6
0,1,274,0,3.23,7,4,120,7
0,1,274,0,3.17,7,4,120,7
0,1,274,0,3.48,7,4,120,9
0,1,274,0,3.12,7,4,120,9
0,1,274,0,3.1,7,4,120,10
0,1,274,0,3.32,7,4,120,11
0,1,274,0,3.45,7,4,120,15
0,1,274,0,3.12,7,4,120,15
0,1,274,0,3.3,7,4,120,17
0,1,274,0,3.38,7,4,120,17
0,1,274,0,3.45,7,4,120,20
0,1,274,0,3.37,7,4,120,20
0,1,274,0,3.32,7,4,120,21
0,1,274,0,3.33,7,4,120,21
0,1,284,0,3.15,7,4,120,7
0,1,284,0,3.25,7,4,120,8
0,1,284,0,3.25,7,4,120,9
0,1,284,0,3.2,7,4,120,14
