Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour,Access Day of Year
0,5,0,240,0,2.02,2,4,116,9,114
0,5,0,240,0,1.85,2,4,116,15,114
0,5,2,250,0,1.83,2,4,116,11,114
0,5,2,250,0,1.92,2,4,116,16,114
0,5,1,240,0,1.83,2,4,116,7,114
0,5,2,250,0,1.98,2,4,116,19,114
0,5,2,259,1,3.6,2,4,116,12,114
0,5,1,214,0,1.83,3,4,117,7,114
0,5,0,214,0,2.02,3,4,117,9,114
0,5,2,224,0,1.83,3,4,117,11,114
0,5,0,214,0,1.85,3,4,117,15,114
0,5,2,224,0,1.82,3,4,117,8,114
0,5,2,224,0,1.98,3,4,117,19,114
0,5,2,233,1,3.6,3,4,117,12,114
0,5,1,214,0,1.77,4,4,118,7,114
0,5,0,214,0,2.02,4,4,118,9,114
0,5,2,224,0,1.83,4,4,118,11,114
0,5,0,214,0,1.85,4,4,118,15,114
0,5,2,224,0,1.82,4,4,118,8,114
0,5,2,224,0,1.92,4,4,118,16,114
0,5,2,224,0,1.98,4,4,118,19,114
0,5,0,214,0,1.85,5,4,119,15,114
0,5,2,224,0,1.92,5,4,119,16,114
0,5,2,224,0,1.98,5,4,119,19,114
0,5,1,214,0,1.83,5,4,119,7,114
0,5,0,214,0,2.02,5,4,119,9,114
0,5,2,224,0,1.82,5,4,119,8,114
0,5,1,214,0,1.83,6,4,120,7,114
0,5,0,214,0,2.02,6,4,120,9,114
0,5,2,224,0,1.83,6,4,120,11,114
0,5,7,188,1,7.72,6,4,120,11,114
0,5,0,214,0,1.85,6,4,120,15,114
0,5,2,224,0,1.82,6,4,120,8,114
0,5,2,224,0,1.92,6,4,120,16,114
0,5,2,224,0,1.98,6,4,120,19,114
0,5,1,104,0,1.83,7,4,121,7,114
0,5,0,104,0,2.02,7,4,121,9,114
0,5,2,114,0,1.92,7,4,121,16,114
0,5,0,104,0,1.85,7,4,121,15,114
0,5,2,114,0,1.82,7,4,121,8,114
0,5,2,114,0,1.98,7,4,121,19,114
0,5,0,104,0,2.02,8,5,122,9,114
0,5,1,104,0,1.83,8,5,122,14,114
0,5,2,114,0,1.83,8,5,122,11,114
0,5,2,114,0,1.92,8,5,122,16,114
0,5,1,104,0,1.93,8,5,122,8,114
0,5,2,114,0,1.82,8,5,122,8,114
0,5,1,104,0,1.93,9,5,123,8,114
0,5,0,104,0,2.02,9,5,123,9,114
0,5,2,114,0,1.87,9,5,123,8,114
0,5,2,149,0,1.83,9,5,123,11,114
0,5,0,149,0,1.85,9,5,123,15,114
0,5,2,149,0,1.92,9,5,123,16,114
0,5,2,149,0,1.98,9,5,123,19,114
0,5,2,114,0,1.92,10,5,124,16,114
0,5,2,114,0,1.98,10,5,124,19,114
0,5,0,129,0,1.85,10,5,124,15,114
0,5,0,112,1,6.42,10,5,124,5,114
0,5,2,149,0,1.87,10,5,124,8,114
0,5,0,149,0,2.02,10,5,124,9,114
0,5,2,159,0,1.83,10,5,124,11,114
0,5,1,160,0,1.83,10,5,124,14,114
0,5,0,104,0,2.02,11,5,125,9,114
0,5,1,104,0,1.83,11,5,125,14,114
0,5,2,114,0,1.83,11,5,125,11,114
0,5,1,104,0,1.93,11,5,125,8,114
0,5,2,114,0,1.87,11,5,125,8,114
0,5,2,114,0,1.92,11,5,125,16,114
0,5,1,104,0,1.92,12,5,126,8,114
0,5,0,104,0,2.02,12,5,126,9,114
0,5,2,114,0,1.87,12,5,126,8,114
0,5,0,129,0,1.85,12,5,126,15,114
0,5,2,189,0,1.92,12,5,126,16,114
0,5,2,189,0,1.98,12,5,126,19,114
0,5,1,214,0,1.82,12,5,126,14,114
0,5,1,104,0,1.93,13,5,127,8,114
0,5,0,104,0,2.03,13,5,127,8,114
0,5,2,114,0,1.92,13,5,127,16,114
0,5,2,114,0,1.98,13,5,127,19,114
0,5,0,149,0,1.67,13,5,127,15,114
0,5,2,159,0,1.87,13,5,127,8,114
0,5,1,179,0,1.83,13,5,127,14,114
0,5,1,104,0,1.83,14,5,128,14,114
0,5,2,114,0,1.82,14,5,128,11,114
0,5,1,104,0,1.93,14,5,128,8,114
0,5,0,104,0,2.03,14,5,128,8,114
0,5,2,114,0,1.85,14,5,128,15,114
0,5,2,114,0,1.85,14,5,128,18,114
0,5,1,104,0,1.83,15,5,129,14,114
0,5,2,114,0,1.7,15,5,129,8,114
0,5,1,104,0,1.93,15,5,129,8,114
0,5,0,104,0,2.03,15,5,129,8,114
0,5,2,149,0,1.85,15,5,129,15,114
0,5,2,189,0,1.82,15,5,129,11,114
0,5,0,108,0,2.03,16,5,130,8,114
0,5,2,118,0,1.7,16,5,130,8,114
0,5,0,129,0,1.67,16,5,130,15,114
0,5,1,149,0,1.93,16,5,130,8,114
0,5,0,116,1,4.43,16,5,130,6,114
0,5,7,148,1,7.63,16,5,130,11,114
0,5,2,189,0,1.82,16,5,130,11,114
0,5,2,189,0,1.85,16,5,130,15,114
0,5,1,209,0,1.83,16,5,130,14,114
0,5,2,149,0,1.85,17,5,131,18,114
0,5,0,174,0,1.67,17,5,131,15,114
0,5,1,179,0,1.83,17,5,131,14,114
0,5,0,116,1,4.67,17,5,131,8,114
