Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
1,0,193.0,0,1.55,2,77,18,77
1,0,233.0,0,1.55,2,77,11,77
1,0,233.0,0,1.55,2,77,16,77
1,0,409.0,0,1.55,2,77,9,77
0,0,409.0,0,1.55,2,77,16,77
1,0,334.0,1,11.92,2,77,19,77
1,0,334.0,1,13.42,2,77,22,77
1,0,409.0,0,1.58,2,77,6,77
0,0,409.0,0,1.58,2,77,7,77
1,0,409.0,0,1.67,2,77,7,77
1,0,409.0,0,1.62,2,77,8,77
1,0,409.0,0,1.8,2,77,10,77
1,0,409.0,0,1.68,2,77,12,77
1,0,409.0,0,1.53,2,77,14,77
1,0,409.0,0,1.53,2,77,15,77
1,0,409.0,0,1.53,2,77,17,77
1,0,409.0,0,1.58,2,77,18,77
1,0,409.0,0,1.6,2,77,18,77
1,0,409.0,0,1.42,2,77,19,77
1,0,409.0,0,1.53,2,77,20,77
1,0,409.0,0,1.55,2,77,21,77
1,0,409.0,0,1.58,2,77,22,77
1,0,158.0,0,1.6,4,79,9,79
1,0,158.0,0,1.55,4,79,11,79
1,0,334.0,1,15.1,4,79,21,79
0,0,400.0,2,17.03,4,79,14,79
1,0,409.0,0,1.58,4,79,6,79
0,0,409.0,0,1.58,4,79,7,79
1,0,409.0,0,1.67,4,79,7,79
1,0,409.0,0,1.62,4,79,8,79
1,0,409.0,0,1.55,4,79,9,79
1,0,409.0,0,1.8,4,79,10,79
1,0,409.0,0,1.68,4,79,12,79
1,0,409.0,0,1.53,4,79,14,79
1,0,409.0,0,1.5,4,79,15,79
0,0,409.0,0,1.55,4,79,16,79
1,0,409.0,0,1.53,4,79,17,79
1,0,409.0,0,1.58,4,79,18,79
1,0,409.0,0,1.6,4,79,18,79
1,0,409.0,0,1.42,4,79,19,79
1,0,409.0,0,1.53,4,79,20,79
1,0,409.0,0,1.55,4,79,21,79
1,0,409.0,0,1.58,4,79,22,79
1,0,151.0,1,4.23,5,80,15,80
1,0,158.0,0,1.6,5,80,7,80
1,0,158.0,0,1.57,5,80,22,80
1,0,371.0,2,9.2,5,80,12,80
1,0,409.0,0,1.6,5,80,6,80
0,0,409.0,0,1.58,5,80,7,80
1,0,409.0,0,1.67,5,80,7,80
1,0,409.0,0,1.62,5,80,8,80
1,0,409.0,0,1.55,5,80,9,80
1,0,409.0,0,1.8,5,80,10,80
1,0,409.0,0,1.68,5,80,12,80
1,0,409.0,0,1.53,5,80,14,80
1,0,409.0,0,1.5,5,80,15,80
0,0,409.0,0,1.55,5,80,16,80
1,0,409.0,0,1.53,5,80,17,80
1,0,409.0,0,1.58,5,80,18,80
1,0,409.0,0,1.6,5,80,18,80
1,0,409.0,0,1.42,5,80,19,80
1,0,409.0,0,1.53,5,80,20,80
1,0,409.0,0,1.55,5,80,21,80
1,0,409.0,0,1.58,5,80,22,80
1,0,158.0,0,1.57,6,81,15,81
1,0,193.0,0,1.55,6,81,11,81
1,0,193.0,0,1.55,6,81,18,81
1,0,409.0,0,1.55,6,81,9,81
0,0,409.0,0,1.55,6,81,16,81
