Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour,Access Day of Year
1,3,3.0,269.0,0,7.3,2,4,116,23,114
1,3,2.0,320.0,0,7.17,2,4,116,8,114
1,3,0.0,320.0,0,7.22,2,4,116,9,114
1,3,5.0,189.0,1,10.5,2,4,116,21,114
1,3,3.0,314.0,0,7.25,2,4,116,6,114
1,3,2.0,399.0,0,7.32,2,4,116,9,114
1,3,2.0,599.0,0,7.3,2,4,116,6,114
1,3,2.0,599.0,0,7.05,2,4,116,11,114
1,3,2.0,599.0,0,7.27,2,4,116,12,114
1,3,2.0,599.0,0,7.27,2,4,116,13,114
1,3,2.0,599.0,0,7.2,2,4,116,14,114
1,3,2.0,599.0,0,7.2,2,4,116,17,114
1,3,2.0,599.0,0,7.27,2,4,116,21,114
1,3,2.0,599.0,0,7.23,2,4,116,22,114
1,3,3.0,229.0,0,7.3,3,4,117,23,114
1,3,0.0,326.0,0,7.22,3,4,117,9,114
1,3,2.0,540.0,0,7.17,3,4,117,8,114
1,3,5.0,175.0,1,14.27,3,4,117,22,114
1,3,3.0,394.0,0,7.27,3,4,117,8,114
1,3,2.0,540.0,0,7.32,3,4,117,9,114
1,3,2.0,599.0,0,7.3,3,4,117,6,114
1,3,2.0,599.0,0,7.05,3,4,117,11,114
1,3,2.0,599.0,0,7.27,3,4,117,12,114
1,3,2.0,599.0,0,7.27,3,4,117,13,114
1,3,2.0,599.0,0,7.2,3,4,117,14,114
1,3,2.0,599.0,0,7.2,3,4,117,17,114
1,3,2.0,599.0,0,7.27,3,4,117,21,114
1,3,2.0,599.0,0,7.23,3,4,117,22,114
1,3,5.0,159.0,1,10.5,4,4,118,21,114
1,3,3.0,194.0,0,7.27,4,4,118,8,114
1,3,3.0,194.0,0,7.3,4,4,118,23,114
1,3,0.0,270.0,0,7.22,4,4,118,9,114
1,3,2.0,399.0,0,7.17,4,4,118,8,114
1,3,2.0,399.0,0,7.32,4,4,118,9,114
1,3,2.0,599.0,0,7.3,4,4,118,6,114
1,3,2.0,599.0,0,7.05,4,4,118,11,114
1,3,2.0,599.0,0,7.27,4,4,118,12,114
1,3,2.0,599.0,0,7.27,4,4,118,13,114
1,3,2.0,599.0,0,7.2,4,4,118,14,114
1,3,2.0,599.0,0,7.2,4,4,118,17,114
1,3,2.0,599.0,0,7.27,4,4,118,21,114
1,3,3.0,269.0,0,7.25,5,4,119,6,114
1,3,0.0,326.0,0,7.22,5,4,119,9,114
1,3,2.0,540.0,0,7.17,5,4,119,8,114
1,3,5.0,175.0,1,14.27,5,4,119,22,114
1,3,7.0,243.0,1,17.83,5,4,119,23,114
1,3,3.0,245.0,1,9.97,5,4,119,1,114
1,3,3.0,269.0,0,7.3,5,4,119,23,114
1,3,2.0,540.0,0,7.32,5,4,119,9,114
1,3,2.0,599.0,0,7.3,5,4,119,6,114
1,3,2.0,599.0,0,7.05,5,4,119,11,114
1,3,2.0,599.0,0,7.27,5,4,119,12,114
1,3,2.0,599.0,0,7.27,5,4,119,13,114
1,3,2.0,599.0,0,7.2,5,4,119,14,114
1,3,2.0,599.0,0,7.2,5,4,119,17,114
1,3,2.0,599.0,0,7.27,5,4,119,21,114
1,3,2.0,599.0,0,7.23,5,4,119,22,114
1,3,3.0,194.0,0,7.27,6,4,120,8,114
1,3,3.0,194.0,0,7.3,6,4,120,23,114
1,3,0.0,320.0,0,7.22,6,4,120,9,114
1,3,2.0,399.0,0,7.17,6,4,120,8,114
1,3,3.0,138.0,1,12.13,6,4,120,21,114
1,3,5.0,165.0,1,13.52,6,4,120,22,114
1,3,0.0,249.0,1,15.12,6,4,120,21,114
1,3,2.0,489.0,0,7.32,6,4,120,9,114
1,3,2.0,599.0,0,7.3,6,4,120,6,114
1,3,2.0,599.0,0,7.05,6,4,120,11,114
1,3,2.0,599.0,0,7.27,6,4,120,12,114
1,3,2.0,599.0,0,7.27,6,4,120,13,114
1,3,2.0,599.0,0,7.2,6,4,120,14,114
1,3,2.0,599.0,0,7.2,6,4,120,17,114
1,3,2.0,599.0,0,7.27,6,4,120,21,114
1,3,2.0,599.0,0,7.23,6,4,120,22,114
1,3,5.0,117.0,1,10.45,7,4,121,21,114
1,3,0.0,240.0,0,7.27,7,4,121,9,114
1,3,3.0,89.0,1,20.28,7,4,121,16,114
1,3,0.0,153.0,1,10.45,7,4,121,21,114
1,3,0.0,154.0,1,9.57,7,4,121,8,114
1,3,3.0,174.0,0,7.28,7,4,121,11,114
1,3,2.0,319.0,0,7.17,7,4,121,8,114
1,3,2.0,319.0,0,7.32,7,4,121,9,114
1,3,2.0,509.0,0,7.3,7,4,121,6,114
1,3,2.0,509.0,0,7.05,7,4,121,11,114
1,3,2.0,509.0,0,7.27,7,4,121,12,114
1,3,2.0,509.0,0,7.27,7,4,121,13,114
1,3,2.0,509.0,0,7.2,7,4,121,14,114
1,3,2.0,509.0,0,7.2,7,4,121,17,114
1,3,2.0,509.0,0,7.27,7,4,121,21,114
1,3,3.0,118.0,0,7.3,8,5,122,16,114
1,3,0.0,240.0,0,7.22,8,5,122,9,114
1,3,3.0,59.0,1,13.93,8,5,122,9,114
1,3,5.0,117.0,1,10.5,8,5,122,21,114
1,3,5.0,135.0,1,13.52,8,5,122,22,114
1,3,2.0,319.0,0,7.32,8,5,122,9,114
1,3,2.0,449.0,0,7.17,8,5,122,8,114
1,3,2.0,509.0,0,7.3,8,5,122,6,114
1,3,2.0,509.0,0,7.05,8,5,122,11,114
1,3,2.0,509.0,0,7.32,8,5,122,13,114
1,3,2.0,509.0,0,7.2,8,5,122,14,114
1,3,2.0,509.0,0,7.2,8,5,122,17,114
1,3,2.0,509.0,0,7.23,8,5,122,21,114
1,3,2.0,509.0,0,7.23,8,5,122,22,114
1,3,3.0,152.0,1,10.48,9,5,123,0,114
1,3,0.0,195.0,0,7.22,9,5,123,9,114
1,3,3.0,269.0,0,7.3,9,5,123,23,114
1,3,2.0,479.0,0,7.17,9,5,123,8,114
1,3,5.0,185.0,1,21.7,9,5,123,8,114
1,3,3.0,314.0,0,7.25,9,5,123,6,114
1,3,2.0,509.0,0,7.3,9,5,123,6,114
1,3,2.0,509.0,0,7.05,9,5,123,11,114
1,3,2.0,509.0,0,7.27,9,5,123,12,114
1,3,2.0,509.0,0,7.27,9,5,123,13,114
1,3,2.0,509.0,0,7.22,9,5,123,14,114
1,3,2.0,509.0,0,7.2,9,5,123,17,114
1,3,2.0,509.0,0,7.27,9,5,123,21,114
1,3,2.0,509.0,0,7.23,9,5,123,22,114
1,3,5.0,123.0,1,14.27,10,5,124,22,114
1,3,3.0,194.0,0,7.27,10,5,124,8,114
1,3,0.0,326.0,0,7.22,10,5,124,9,114
1,3,2.0,509.0,0,7.17,10,5,124,8,114
1,3,0.0,199.0,2,15.62,10,5,124,8,114
1,3,2.0,509.0,0,7.3,10,5,124,6,114
1,3,2.0,509.0,0,7.32,10,5,124,9,114
1,3,2.0,509.0,0,7.05,10,5,124,11,114
1,3,2.0,509.0,0,7.27,10,5,124,12,114
1,3,2.0,509.0,0,7.27,10,5,124,13,114
1,3,2.0,509.0,0,7.22,10,5,124,14,114
1,3,2.0,509.0,0,7.2,10,5,124,17,114
1,3,2.0,509.0,0,7.27,10,5,124,21,114
1,3,2.0,509.0,0,7.23,10,5,124,22,114
1,3,3.0,118.0,0,7.27,11,5,125,8,114
1,3,3.0,118.0,0,7.3,11,5,125,23,114
1,3,0.0,195.0,0,7.22,11,5,125,9,114
1,3,2.0,259.0,0,7.17,11,5,125,8,114
1,3,5.0,86.0,1,13.52,11,5,125,22,114
1,3,3.0,120.0,1,11.28,11,5,125,19,114
1,3,0.0,153.0,1,10.15,11,5,125,13,114
1,3,0.0,154.0,1,9.82,11,5,125,13,114
1,3,2.0,259.0,0,7.32,11,5,125,9,114
1,3,2.0,509.0,0,7.3,11,5,125,6,114
1,3,2.0,509.0,0,7.05,11,5,125,11,114
1,3,2.0,509.0,0,7.27,11,5,125,12,114
1,3,2.0,509.0,0,7.27,11,5,125,13,114
1,3,2.0,509.0,0,7.22,11,5,125,14,114
1,3,2.0,509.0,0,7.2,11,5,125,17,114
1,3,2.0,509.0,0,7.27,11,5,125,21,114
1,3,3.0,194.0,0,7.3,12,5,126,23,114
1,3,0.0,326.0,0,7.22,12,5,126,9,114
1,3,2.0,509.0,0,7.05,12,5,126,11,114
1,3,5.0,165.0,1,14.27,12,5,126,22,114
1,3,0.0,197.0,1,14.82,12,5,126,23,114
1,3,2.0,509.0,0,7.3,12,5,126,6,114
1,3,2.0,509.0,0,7.17,12,5,126,8,114
1,3,2.0,509.0,0,7.32,12,5,126,9,114
1,3,2.0,509.0,0,7.12,12,5,126,10,114
1,3,2.0,509.0,0,7.27,12,5,126,12,114
1,3,2.0,509.0,0,7.27,12,5,126,13,114
1,3,2.0,509.0,0,7.22,12,5,126,14,114
1,3,2.0,509.0,0,7.2,12,5,126,17,114
1,3,2.0,509.0,0,7.27,12,5,126,21,114
1,3,2.0,509.0,0,7.23,12,5,126,22,114
1,3,5.0,117.0,1,10.5,13,5,127,21,114
1,3,3.0,144.0,0,7.27,13,5,127,8,114
1,3,3.0,144.0,0,7.3,13,5,127,23,114
1,3,0.0,195.0,0,7.35,13,5,127,9,114
1,3,2.0,320.0,0,7.17,13,5,127,8,114
1,3,5.0,104.0,1,13.52,13,5,127,22,114
1,3,3.0,113.0,1,12.13,13,5,127,21,114
1,3,0.0,182.0,1,14.83,13,5,127,22,114
1,3,2.0,320.0,0,7.32,13,5,127,9,114
1,3,2.0,509.0,0,7.3,13,5,127,6,114
1,3,2.0,509.0,0,7.05,13,5,127,11,114
1,3,2.0,509.0,0,7.27,13,5,127,12,114
1,3,2.0,509.0,0,7.27,13,5,127,13,114
