Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
1,2,299.0,0,3.42,2,4,116,8
1,2,299.0,0,3.5,2,4,116,8
1,2,299.0,0,3.4,2,4,116,9
1,2,185.0,1,11.5,2,4,116,21
1,2,299.0,0,3.35,2,4,116,5
1,2,299.0,0,3.42,2,4,116,7
1,2,299.0,0,3.4,2,4,116,10
1,2,299.0,0,3.4,2,4,116,12
1,2,299.0,0,3.37,2,4,116,13
1,2,299.0,0,3.32,2,4,116,14
1,2,299.0,0,3.4,2,4,116,14
1,2,299.0,0,3.35,2,4,116,15
1,2,299.0,0,3.4,2,4,116,16
1,2,299.0,0,3.33,2,4,116,18
1,2,299.0,0,3.38,2,4,116,19
1,2,299.0,0,3.37,2,4,116,20
1,2,289.0,0,3.42,3,4,117,8
1,2,299.0,0,3.42,3,4,117,8
1,2,299.0,0,3.5,3,4,117,8
1,2,299.0,0,3.4,3,4,117,9
1,2,159.0,1,8.57,3,4,117,22
1,2,299.0,0,3.35,3,4,117,5
1,2,299.0,0,3.42,3,4,117,7
1,2,299.0,0,3.4,3,4,117,10
1,2,299.0,0,3.4,3,4,117,12
1,2,299.0,0,3.37,3,4,117,13
1,2,299.0,0,3.32,3,4,117,14
1,2,299.0,0,3.4,3,4,117,14
1,2,299.0,0,3.35,3,4,117,15
1,2,299.0,0,3.4,3,4,117,16
1,2,299.0,0,3.33,3,4,117,18
1,2,299.0,0,3.38,3,4,117,19
1,2,299.0,0,3.37,3,4,117,20
1,2,299.0,0,3.42,4,4,118,8
1,2,299.0,0,3.5,4,4,118,8
1,2,299.0,0,3.4,4,4,118,9
1,2,135.0,1,15.22,4,4,118,9
1,2,299.0,0,3.35,4,4,118,5
1,2,299.0,0,3.42,4,4,118,7
1,2,299.0,0,3.4,4,4,118,10
1,2,299.0,0,3.4,4,4,118,12
1,2,299.0,0,3.37,4,4,118,13
1,2,299.0,0,3.32,4,4,118,14
1,2,299.0,0,3.4,4,4,118,14
1,2,299.0,0,3.35,4,4,118,15
1,2,299.0,0,3.4,4,4,118,16
1,2,299.0,0,3.33,4,4,118,18
1,2,299.0,0,3.38,4,4,118,19
1,2,299.0,0,3.37,4,4,118,20
1,2,299.0,0,3.37,5,4,119,13
1,2,299.0,0,3.32,5,4,119,14
1,2,299.0,0,3.35,5,4,119,15
1,2,165.0,1,14.15,5,4,119,21
1,2,208.0,1,17.17,5,4,119,23
1,2,288.0,2,15.63,5,4,119,19
1,2,299.0,0,3.35,5,4,119,5
1,2,299.0,0,3.42,5,4,119,7
1,2,299.0,0,3.42,5,4,119,8
1,2,299.0,0,3.5,5,4,119,8
1,2,299.0,0,3.4,5,4,119,9
1,2,299.0,0,3.4,5,4,119,10
1,2,299.0,0,3.4,5,4,119,12
1,2,299.0,0,3.4,5,4,119,14
1,2,299.0,0,3.4,5,4,119,16
1,2,299.0,0,3.33,5,4,119,18
1,2,299.0,0,3.38,5,4,119,19
1,2,299.0,0,3.37,5,4,119,20
1,2,299.0,0,3.42,6,4,120,8
1,2,299.0,0,3.5,6,4,120,8
1,2,299.0,0,3.4,6,4,120,9
1,2,167.0,2,15.65,6,4,120,19
1,2,185.0,1,9.87,6,4,120,22
1,2,299.0,0,3.35,6,4,120,5
1,2,299.0,0,3.42,6,4,120,7
1,2,299.0,0,3.4,6,4,120,10
1,2,299.0,0,3.4,6,4,120,12
1,2,299.0,0,3.37,6,4,120,13
1,2,299.0,0,3.32,6,4,120,14
1,2,299.0,0,3.4,6,4,120,14
1,2,299.0,0,3.35,6,4,120,15
1,2,299.0,0,3.4,6,4,120,16
1,2,299.0,0,3.33,6,4,120,18
1,2,299.0,0,3.38,6,4,120,19
1,2,299.0,0,3.37,6,4,120,20
1,2,140.0,0,3.42,7,4,121,8
1,2,140.0,0,3.5,7,4,121,8
1,2,140.0,0,3.4,7,4,121,9
1,2,140.0,0,3.35,7,4,121,5
1,2,140.0,0,3.42,7,4,121,7
1,2,140.0,0,3.4,7,4,121,10
1,2,140.0,0,3.4,7,4,121,12
1,2,140.0,0,3.37,7,4,121,13
1,2,140.0,0,3.32,7,4,121,14
1,2,140.0,0,3.4,7,4,121,14
1,2,140.0,0,3.35,7,4,121,15
1,2,140.0,0,3.4,7,4,121,16
1,2,140.0,0,3.33,7,4,121,18
1,2,140.0,0,3.38,7,4,121,19
1,2,140.0,0,3.37,7,4,121,20
1,2,140.0,0,3.32,8,5,122,14
1,2,140.0,0,3.35,8,5,122,15
1,2,140.0,0,3.38,8,5,122,19
1,2,140.0,0,3.33,8,5,122,18
1,2,140.0,0,3.37,8,5,122,20
1,2,170.0,0,3.4,8,5,122,10
1,2,202.0,0,3.4,8,5,122,12
1,2,218.0,0,3.42,8,5,122,7
1,2,218.0,0,3.4,8,5,122,16
1,2,237.0,0,3.4,8,5,122,9
1,2,237.0,0,3.4,8,5,122,14
1,2,239.0,0,3.5,8,5,122,8
1,2,240.0,0,3.35,8,5,122,5
1,2,251.0,0,3.37,8,5,122,13
1,2,291.0,0,3.42,8,5,122,8
1,2,160.0,0,3.35,9,5,123,5
1,2,160.0,0,3.35,9,5,123,15
1,2,160.0,0,3.33,9,5,123,18
1,2,89.0,1,8.57,9,5,123,22
1,2,160.0,0,3.42,9,5,123,7
1,2,160.0,0,3.4,9,5,123,14
1,2,160.0,0,3.37,9,5,123,20
1,2,172.0,0,3.4,9,5,123,16
1,2,175.0,0,3.4,9,5,123,12
1,2,180.0,0,3.38,9,5,123,19
1,2,202.0,0,3.4,9,5,123,8
1,2,218.0,0,3.4,9,5,123,10
1,2,220.0,0,3.42,9,5,123,8
1,2,220.0,0,3.32,9,5,123,14
1,2,251.0,0,3.37,9,5,123,13
1,2,299.0,0,3.5,9,5,123,8
1,2,160.0,0,3.4,10,5,124,8
1,2,160.0,0,3.32,10,5,124,14
1,2,160.0,0,3.35,10,5,124,15
1,2,135.0,1,16.58,10,5,124,17
1,2,160.0,0,3.35,10,5,124,5
1,2,160.0,0,3.42,10,5,124,7
1,2,160.0,0,3.4,10,5,124,10
1,2,160.0,0,3.4,10,5,124,12
1,2,160.0,0,3.37,10,5,124,13
1,2,160.0,0,3.4,10,5,124,14
1,2,160.0,0,3.4,10,5,124,16
1,2,160.0,0,3.38,10,5,124,18
1,2,160.0,0,3.38,10,5,124,19
1,2,160.0,0,3.37,10,5,124,20
1,2,185.0,0,3.5,10,5,124,8
1,2,291.0,0,3.42,10,5,124,8
1,2,140.0,0,3.5,11,5,125,8
1,2,140.0,0,3.4,11,5,125,8
1,2,140.0,0,3.32,11,5,125,14
1,2,89.0,1,8.72,11,5,125,22
1,2,140.0,0,3.35,11,5,125,5
1,2,140.0,0,3.42,11,5,125,7
1,2,140.0,0,3.4,11,5,125,10
1,2,140.0,0,3.4,11,5,125,12
1,2,140.0,0,3.37,11,5,125,13
1,2,140.0,0,3.4,11,5,125,14
1,2,140.0,0,3.35,11,5,125,15
1,2,140.0,0,3.4,11,5,125,16
1,2,140.0,0,3.33,11,5,125,18
1,2,140.0,0,3.38,11,5,125,20
1,2,140.0,0,3.37,11,5,125,20
1,2,160.0,0,3.42,11,5,125,8
1,2,160.0,0,3.4,12,5,126,16
1,2,160.0,0,3.33,12,5,126,18
1,2,160.0,0,3.37,12,5,126,20
1,2,99.0,1,7.9,12,5,126,22
1,2,160.0,0,3.35,12,5,126,5
1,2,160.0,0,3.42,12,5,126,7
1,2,160.0,0,3.42,12,5,126,8
1,2,160.0,0,3.5,12,5,126,8
1,2,160.0,0,3.4,12,5,126,8
1,2,160.0,0,3.4,12,5,126,10
1,2,160.0,0,3.38,12,5,126,19
1,2,172.0,0,3.4,12,5,126,12
1,2,175.0,0,3.37,12,5,126,13
1,2,180.0,0,3.32,12,5,126,14
1,2,185.0,0,3.35,12,5,126,15
1,2,240.0,0,3.38,12,5,126,14
1,2,160.0,0,3.5,13,5,127,8
1,2,160.0,0,3.35,13,5,127,8
1,2,160.0,0,3.4,13,5,127,8
1,2,89.0,1,7.9,13,5,127,22
1,2,141.0,1,12.28,13,5,127,20
1,2,146.0,2,15.67,13,5,127,19
1,2,160.0,0,3.35,13,5,127,5
1,2,160.0,0,3.42,13,5,127,7
1,2,160.0,0,3.4,13,5,127,10
1,2,160.0,0,3.37,13,5,127,13
1,2,160.0,0,3.28,13,5,127,14
1,2,160.0,0,3.35,13,5,127,15
