Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
1,0,1,452,0,8.38,2,4,116,7
1,0,0,452,0,8.55,2,4,116,10
1,0,0,312,2,21.7,2,4,116,19
1,0,0,312,2,21.7,2,4,116,19
1,0,0,312,2,21.7,2,4,116,19
1,0,1,403,1,11.35,2,4,116,10
1,0,7,414,1,40.32,2,4,116,18
1,0,1,452,0,8.42,2,4,116,6
1,0,0,452,0,8.52,2,4,116,6
1,0,0,452,0,8.52,2,4,116,7
1,0,1,452,0,8.6,2,4,116,11
1,0,0,452,0,8.57,2,4,116,11
1,0,0,452,0,8.48,2,4,116,12
1,0,1,452,0,8.52,2,4,116,13
1,0,1,452,0,8.53,2,4,116,14
1,0,1,452,0,8.5,2,4,116,15
1,0,0,452,0,8.48,2,4,116,15
1,0,1,452,0,8.32,2,4,116,16
1,0,0,452,0,8.5,2,4,116,22
1,0,1,452,0,8.48,2,4,116,22
1,0,0,452,0,8.48,2,4,116,23
1,0,2,462,0,8.42,2,4,116,6
1,0,2,462,0,8.47,2,4,116,7
1,0,2,462,0,8.52,2,4,116,11
1,0,2,462,0,8.45,2,4,116,12
1,0,2,462,0,8.38,2,4,116,14
1,0,2,462,0,8.38,2,4,116,16
1,0,2,462,0,8.33,2,4,116,21
1,0,2,462,0,8.33,2,4,116,22
1,0,2,462,0,8.43,2,4,116,23
1,0,1,494,0,8.58,2,4,116,9
1,0,7,243,1,10.65,3,4,117,23
1,0,1,394,0,8.42,3,4,117,6
1,0,0,394,0,8.53,3,4,117,8
1,0,2,404,0,8.42,3,4,117,6
1,0,0,342,2,19.0,3,4,117,12
1,0,1,386,1,14.32,3,4,117,15
1,0,0,394,0,8.52,3,4,117,6
1,0,0,394,0,8.52,3,4,117,7
1,0,1,394,0,8.38,3,4,117,7
1,0,1,394,0,8.58,3,4,117,9
1,0,0,394,0,8.48,3,4,117,10
1,0,0,394,0,8.5,3,4,117,11
1,0,1,394,0,8.6,3,4,117,11
1,0,0,394,0,8.48,3,4,117,12
1,0,1,394,0,8.52,3,4,117,13
1,0,1,394,0,8.53,3,4,117,14
1,0,1,394,0,8.5,3,4,117,15
1,0,0,394,0,8.48,3,4,117,15
1,0,1,394,0,8.32,3,4,117,16
1,0,0,394,0,8.5,3,4,117,22
1,0,1,394,0,8.45,3,4,117,22
1,0,0,394,0,8.48,3,4,117,23
1,0,2,404,0,8.47,3,4,117,7
1,0,2,404,0,8.58,3,4,117,9
1,0,2,404,0,8.52,3,4,117,11
1,0,2,404,0,8.45,3,4,117,12
1,0,2,404,0,8.38,3,4,117,14
1,0,2,404,0,8.38,3,4,117,16
1,0,2,404,0,8.33,3,4,117,21
1,0,2,404,0,8.33,3,4,117,22
1,0,1,394,0,8.42,4,4,118,6
1,0,0,394,0,8.53,4,4,118,8
1,0,2,404,0,8.42,4,4,118,6
1,0,7,279,1,40.32,4,4,118,18
1,0,1,341,1,14.02,4,4,118,7
1,0,0,392,1,16.3,4,4,118,8
1,0,0,394,0,8.52,4,4,118,6
1,0,0,394,0,8.52,4,4,118,7
1,0,0,394,0,8.55,4,4,118,10
1,0,0,394,0,8.57,4,4,118,11
1,0,0,394,0,8.48,4,4,118,12
1,0,0,394,0,8.48,4,4,118,15
1,0,1,394,0,8.3,4,4,118,17
1,0,1,394,0,8.4,4,4,118,20
1,0,0,394,0,8.5,4,4,118,22
1,0,1,394,0,8.48,4,4,118,22
1,0,0,394,0,8.48,4,4,118,23
1,0,2,404,0,8.47,4,4,118,7
1,0,1,452,0,8.53,4,4,118,14
1,0,2,462,0,8.38,4,4,118,14
1,0,2,539,0,8.58,4,4,118,9
1,0,2,539,0,8.52,4,4,118,11
1,0,2,539,0,8.32,4,4,118,22
1,0,1,394,0,8.6,5,4,119,11
1,0,0,394,0,8.48,5,4,119,23
1,0,2,404,0,8.33,5,4,119,22
1,0,7,283,1,10.65,5,4,119,23
1,0,1,341,1,14.03,5,4,119,23
1,0,1,394,0,8.5,5,4,119,15
1,0,1,394,0,8.32,5,4,119,16
1,0,0,394,0,8.5,5,4,119,22
