Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour,Access Day of Year
1,5,3,267,0,6.07,1,4,116,23,115
1,5,6,311,0,6.17,1,4,116,10,115
1,5,0,351,0,6.05,1,4,116,13,115
1,5,3,254,1,16.73,1,4,116,13,115
1,5,6,311,0,6.08,1,4,116,6,115
1,5,6,311,0,6.18,1,4,116,7,115
1,5,6,311,0,6.17,1,4,116,8,115
1,5,6,311,0,6.17,1,4,116,12,115
1,5,6,311,0,6.13,1,4,116,14,115
1,5,6,311,0,6.13,1,4,116,17,115
1,5,6,311,0,6.08,1,4,116,22,115
1,5,6,311,0,6.0,1,4,116,23,115
1,5,0,351,0,5.97,1,4,116,0,115
1,5,0,351,0,6.17,1,4,116,6,115
1,5,0,351,0,6.15,1,4,116,7,115
1,5,0,351,0,6.08,1,4,116,9,115
1,5,0,351,0,6.08,1,4,116,11,115
1,5,0,351,0,6.05,1,4,116,17,115
1,5,0,429,0,6.08,2,4,117,9,115
1,5,0,429,0,6.08,2,4,117,11,115
1,5,6,429,0,6.08,2,4,117,12,115
1,5,3,174,1,10.88,2,4,117,19,115
1,5,6,314,1,14.35,2,4,117,21,115
1,5,3,407,0,6.07,2,4,117,23,115
1,5,0,429,0,5.97,2,4,117,0,115
1,5,6,429,0,6.08,2,4,117,6,115
1,5,0,429,0,6.17,2,4,117,6,115
1,5,6,429,0,6.08,2,4,117,6,115
1,5,0,429,0,6.15,2,4,117,7,115
1,5,6,429,0,6.17,2,4,117,8,115
1,5,6,429,0,6.17,2,4,117,10,115
1,5,6,429,0,6.13,2,4,117,14,115
1,5,0,429,0,6.05,2,4,117,17,115
1,5,6,429,0,6.13,2,4,117,17,115
1,5,6,429,0,6.08,2,4,117,22,115
1,5,0,429,0,6.05,2,4,117,23,115
1,5,3,187,0,6.07,3,4,118,22,115
1,5,6,261,0,6.12,3,4,118,8,115
1,5,0,351,0,6.08,3,4,118,9,115
1,5,3,199,1,8.9,3,4,118,23,115
1,5,6,258,1,12.58,3,4,118,16,115
1,5,6,261,0,6.08,3,4,118,6,115
1,5,6,261,0,6.18,3,4,118,7,115
1,5,6,261,0,6.12,3,4,118,12,115
1,5,6,261,0,6.13,3,4,118,17,115
1,5,6,261,0,6.08,3,4,118,22,115
1,5,6,261,0,6.0,3,4,118,23,115
1,5,0,351,0,5.97,3,4,118,0,115
1,5,0,351,0,6.17,3,4,118,6,115
1,5,0,351,0,6.08,3,4,118,11,115
1,5,0,351,0,6.05,3,4,118,13,115
1,5,0,351,0,6.05,3,4,118,17,115
1,5,0,351,0,6.05,3,4,118,23,115
1,5,3,267,0,6.07,4,4,119,23,115
1,5,6,429,0,6.17,4,4,119,12,115
1,5,0,429,0,6.05,4,4,119,13,115
1,5,7,255,1,19.3,4,4,119,23,115
1,5,5,285,1,16.75,4,4,119,8,115
1,5,0,429,0,5.97,4,4,119,0,115
1,5,6,429,0,6.08,4,4,119,6,115
1,5,0,429,0,6.17,4,4,119,6,115
1,5,6,429,0,6.18,4,4,119,7,115
1,5,0,429,0,6.15,4,4,119,7,115
1,5,6,429,0,6.17,4,4,119,8,115
1,5,0,429,0,6.08,4,4,119,9,115
1,5,6,429,0,6.17,4,4,119,10,115
1,5,0,429,0,6.08,4,4,119,11,115
1,5,6,429,0,6.13,4,4,119,14,115
1,5,6,429,0,6.13,4,4,119,17,115
1,5,6,429,0,6.08,4,4,119,22,115
1,5,0,429,0,6.05,4,4,119,23,115
1,5,6,429,0,6.0,4,4,119,23,115
1,5,3,227,0,6.07,5,4,120,23,115
1,5,6,311,0,6.17,5,4,120,10,115
1,5,0,351,0,6.08,5,4,120,9,115
1,5,3,159,1,26.55,5,4,120,11,115
1,5,5,185,1,16.75,5,4,120,8,115
1,5,6,311,0,6.08,5,4,120,6,115
1,5,6,311,0,6.18,5,4,120,7,115
1,5,6,311,0,6.17,5,4,120,8,115
1,5,6,311,0,6.12,5,4,120,12,115
1,5,6,311,0,6.13,5,4,120,14,115
1,5,6,311,0,6.13,5,4,120,17,115
1,5,6,311,0,6.08,5,4,120,22,115
1,5,6,311,0,6.0,5,4,120,23,115
1,5,0,351,0,5.97,5,4,120,0,115
1,5,0,351,0,6.17,5,4,120,6,115
1,5,0,351,0,6.15,5,4,120,7,115
1,5,0,351,0,6.08,5,4,120,11,115
1,5,0,351,0,6.05,5,4,120,13,115
1,5,0,351,0,6.05,5,4,120,17,115
