Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
5,3,5,125,0,3.02,1,4,116,6
5,3,0,186,0,2.97,1,4,116,19
5,3,3,292,0,3.1,1,4,116,22
5,3,6,444,0,3.03,1,4,116,10
5,3,2,464,0,2.87,1,4,116,9
5,3,3,203,1,7.85,1,4,116,10
5,3,6,444,0,3.07,1,4,116,7
5,3,0,444,0,3.05,1,4,116,14
5,3,6,444,0,3.1,1,4,116,14
5,3,6,444,0,3.13,1,4,116,18
5,3,2,464,0,2.95,1,4,116,5
5,3,2,464,0,2.98,1,4,116,7
5,3,2,464,0,2.93,1,4,116,12
5,3,2,464,0,2.9,1,4,116,17
5,3,2,464,0,2.98,1,4,116,20
5,3,2,499,0,2.9,1,4,116,15
5,3,5,176,0,3.02,2,4,117,6
5,3,0,444,0,3.07,2,4,117,7
5,3,6,444,0,3.03,2,4,117,10
5,3,2,464,0,2.87,2,4,117,9
5,3,6,419,1,8.78,2,4,117,10
5,3,6,444,0,3.07,2,4,117,7
5,3,0,444,0,3.05,2,4,117,14
5,3,6,444,0,3.1,2,4,117,14
5,3,6,444,0,3.13,2,4,117,18
5,3,0,444,0,2.97,2,4,117,19
5,3,2,464,0,2.95,2,4,117,5
5,3,2,464,0,2.98,2,4,117,7
5,3,2,464,0,2.93,2,4,117,12
5,3,2,464,0,2.9,2,4,117,15
5,3,2,464,0,2.9,2,4,117,17
5,3,5,81,0,3.02,3,4,118,6
5,3,3,82,0,3.1,3,4,118,22
5,3,0,136,0,3.07,3,4,118,7
5,3,0,136,0,3.05,3,4,118,14
5,3,0,136,0,2.97,3,4,118,19
5,3,5,129,1,8.92,3,4,118,8
5,3,6,444,0,3.07,3,4,118,7
5,3,6,444,0,3.03,3,4,118,10
5,3,6,444,0,3.05,3,4,118,15
5,3,6,444,0,3.13,3,4,118,18
5,3,2,464,0,2.95,3,4,118,5
5,3,2,464,0,2.98,3,4,118,7
5,3,2,464,0,2.87,3,4,118,9
5,3,2,464,0,2.93,3,4,118,12
5,3,2,464,0,2.9,3,4,118,15
5,3,5,289,0,3.02,4,4,119,6
5,3,3,292,0,3.1,4,4,119,22
5,3,6,444,0,3.03,4,4,119,10
5,3,0,444,0,3.05,4,4,119,14
5,3,2,464,0,2.9,4,4,119,15
5,3,5,145,1,13.32,4,4,119,17
5,3,3,168,1,10.55,4,4,119,21
5,3,3,203,1,6.65,4,4,119,5
5,3,6,399,1,10.45,4,4,119,6
5,3,6,444,0,3.07,4,4,119,7
5,3,0,444,0,3.07,4,4,119,7
5,3,6,444,0,3.2,4,4,119,14
5,3,6,444,0,3.13,4,4,119,18
5,3,0,444,0,2.97,4,4,119,19
5,3,2,464,0,2.95,4,4,119,5
5,3,2,464,0,2.98,4,4,119,7
5,3,2,464,0,2.87,4,4,119,9
5,3,2,464,0,2.93,4,4,119,12
5,3,2,464,0,2.9,4,4,119,17
5,3,5,81,0,3.02,5,4,120,6
5,3,3,82,0,3.1,5,4,120,22
5,3,0,186,0,3.05,5,4,120,14
5,3,0,186,0,2.97,5,4,120,19
5,3,6,444,0,3.07,5,4,120,7
5,3,0,444,0,3.07,5,4,120,7
5,3,6,444,0,3.03,5,4,120,10
5,3,6,444,0,3.1,5,4,120,14
5,3,6,444,0,3.13,5,4,120,18
5,3,2,464,0,2.95,5,4,120,5
5,3,2,464,0,2.98,5,4,120,7
5,3,2,464,0,2.87,5,4,120,9
5,3,2,464,0,2.93,5,4,120,12
5,3,2,464,0,2.9,5,4,120,15
5,3,2,464,0,2.9,5,4,120,17
5,3,5,81,0,3.02,6,4,121,6
5,3,3,82,0,3.1,6,4,121,22
5,3,0,136,0,3.07,6,4,121,7
5,3,0,136,0,2.97,6,4,121,19
5,3,3,113,1,6.78,6,4,121,17
5,3,6,444,0,3.07,6,4,121,7
5,3,6,444,0,3.03,6,4,121,10
5,3,6,444,0,3.1,6,4,121,14
5,3,6,444,0,3.13,6,4,121,18
5,3,2,464,0,2.95,6,4,121,5
5,3,2,464,0,2.98,6,4,121,7
5,3,2,464,0,2.87,6,4,121,9
5,3,2,464,0,2.93,6,4,121,12
5,3,2,464,0,2.9,6,4,121,15
5,3,2,464,0,2.9,6,4,121,17
5,3,5,57,0,3.02,7,5,122,6
5,3,0,90,0,2.97,7,5,122,19
5,3,6,130,0,3.07,7,5,122,7
5,3,0,130,0,3.07,7,5,122,7
5,3,6,130,0,3.03,7,5,122,10
5,3,6,130,0,3.1,7,5,122,14
5,3,6,155,0,3.13,7,5,122,18
5,3,2,160,0,2.95,7,5,122,5
5,3,2,160,0,2.98,7,5,122,7
5,3,2,160,0,2.93,7,5,122,12
5,3,2,160,0,2.9,7,5,122,15
5,3,2,160,0,2.98,7,5,122,20
5,3,0,165,0,3.05,7,5,122,14
5,3,2,180,0,2.87,7,5,122,9
5,3,5,57,0,3.02,8,5,123,6
5,3,3,58,0,3.1,8,5,123,22
5,3,2,180,0,2.98,8,5,123,20
5,3,6,185,0,3.03,8,5,123,10
5,3,0,214,0,3.05,8,5,123,14
5,3,0,148,1,5.42,8,5,123,12
5,3,2,180,0,2.97,8,5,123,5
5,3,2,180,0,3.0,8,5,123,7
5,3,6,185,0,3.07,8,5,123,7
5,3,6,185,0,3.13,8,5,123,18
5,3,6,210,0,3.2,8,5,123,14
5,3,0,214,0,3.07,8,5,123,7
5,3,2,287,0,2.88,8,5,123,9
5,3,2,287,0,2.95,8,5,123,12
5,3,2,332,0,2.92,8,5,123,15
5,3,2,332,0,2.92,8,5,123,17
5,3,3,82,0,3.1,9,5,124,22
5,3,5,82,0,3.02,9,5,124,6
5,3,6,150,0,3.03,9,5,124,10
5,3,0,150,0,2.97,9,5,124,19
5,3,2,180,0,2.92,9,5,124,17
5,3,6,150,0,3.1,9,5,124,14
5,3,6,150,0,3.13,9,5,124,18
5,3,0,169,0,3.05,9,5,124,14
5,3,2,180,0,2.97,9,5,124,5
5,3,2,180,0,2.98,9,5,124,20
5,3,2,215,0,3.0,9,5,124,7
5,3,2,215,0,2.88,9,5,124,9
5,3,2,215,0,2.95,9,5,124,12
5,3,6,267,0,3.07,9,5,124,7
5,3,2,287,0,2.92,9,5,124,15
5,3,5,57,0,3.02,10,5,125,6
5,3,0,90,0,3.05,10,5,125,14
5,3,0,90,0,2.97,10,5,125,19
5,3,6,130,0,3.07,10,5,125,7
5,3,0,130,0,3.07,10,5,125,7
5,3,6,130,0,3.03,10,5,125,10
5,3,6,130,0,3.03,10,5,125,14
5,3,6,130,0,3.13,10,5,125,18
5,3,2,160,0,2.97,10,5,125,5
5,3,2,160,0,3.0,10,5,125,7
5,3,2,160,0,2.95,10,5,125,12
5,3,2,160,0,2.92,10,5,125,15
5,3,2,160,0,2.92,10,5,125,17
5,3,0,150,0,2.97,11,5,126,19
5,3,6,169,0,3.03,11,5,126,10
5,3,2,180,0,2.98,11,5,126,20
5,3,5,105,1,18.08,11,5,126,5
5,3,5,105,1,13.48,11,5,126,17
5,3,6,150,0,3.07,11,5,126,7
5,3,3,152,0,3.1,11,5,126,22
5,3,0,158,1,5.42,11,5,126,12
5,3,6,169,0,3.13,11,5,126,18
5,3,2,180,0,2.97,11,5,126,5
5,3,2,180,0,3.0,11,5,126,7
5,3,0,229,0,3.07,11,5,126,7
5,3,0,229,0,3.05,11,5,126,14
5,3,2,289,0,2.88,11,5,126,9
5,3,2,289,0,2.95,11,5,126,12
5,3,2,289,0,2.92,11,5,126,17
5,3,2,332,0,2.92,11,5,126,15
5,3,5,57,0,3.02,12,5,127,6
5,3,0,140,0,2.83,12,5,127,19
5,3,2,180,0,2.88,12,5,127,9
5,3,6,150,0,3.13,12,5,127,18
5,3,0,165,0,3.12,12,5,127,9
5,3,0,165,0,3.0,12,5,127,13
5,3,2,180,0,2.97,12,5,127,5
