Origin,Destination,Airline(s),Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
5,2,0.0,216.0,0,1.65,1,4,116,8
5,2,0.0,216.0,0,1.62,1,4,116,11
5,2,6.0,216.0,0,1.8,1,4,116,12
5,2,6.0,216.0,0,1.8,1,4,116,14
5,2,0.0,216.0,0,1.67,1,4,116,20
5,2,5.0,165.0,1,15.35,1,4,116,5
5,2,6.0,216.0,0,1.7,1,4,116,5
5,2,6.0,216.0,0,1.77,1,4,116,8
5,2,6.0,216.0,0,1.87,1,4,116,20
5,2,6.0,216.0,0,1.78,1,4,116,21
5,2,6.0,276.0,0,1.8,1,4,116,16
5,2,6.0,276.0,0,1.8,1,4,116,17
5,2,6.0,379.0,0,1.8,1,4,116,10
5,2,6.0,559.0,0,1.82,1,4,116,7
5,2,0.0,241.0,0,1.62,2,4,117,11
5,2,6.0,241.0,0,1.8,2,4,117,14
5,2,7.0,179.0,1,21.25,2,4,117,20
5,2,6.0,241.0,0,1.7,2,4,117,5
5,2,6.0,241.0,0,1.82,2,4,117,7
5,2,0.0,241.0,0,1.65,2,4,117,8
5,2,6.0,241.0,0,1.77,2,4,117,8
5,2,6.0,241.0,0,1.8,2,4,117,10
5,2,6.0,241.0,0,1.8,2,4,117,12
5,2,6.0,241.0,0,1.8,2,4,117,16
5,2,6.0,241.0,0,1.8,2,4,117,17
5,2,6.0,241.0,0,1.85,2,4,117,20
5,2,0.0,241.0,0,1.67,2,4,117,20
5,2,6.0,241.0,0,1.78,2,4,117,21
5,2,0.0,216.0,0,1.62,3,4,118,11
5,2,6.0,216.0,0,1.8,3,4,118,14
5,2,6.0,216.0,0,1.7,3,4,118,5
5,2,6.0,216.0,0,1.82,3,4,118,7
5,2,0.0,216.0,0,1.65,3,4,118,8
5,2,6.0,216.0,0,1.77,3,4,118,8
5,2,6.0,216.0,0,1.8,3,4,118,10
5,2,6.0,216.0,0,1.8,3,4,118,12
5,2,6.0,216.0,0,1.78,3,4,118,16
5,2,6.0,216.0,0,1.8,3,4,118,17
5,2,6.0,216.0,0,1.87,3,4,118,20
5,2,0.0,216.0,0,1.67,3,4,118,20
5,2,6.0,216.0,0,1.78,3,4,118,21
5,2,5.0,170.0,0,1.92,4,4,119,18
5,2,0.0,241.0,0,1.62,4,4,119,11
5,2,6.0,241.0,0,1.78,4,4,119,21
5,2,5.0,145.0,1,15.35,4,4,119,5
5,2,6.0,241.0,0,1.7,4,4,119,5
5,2,6.0,241.0,0,1.82,4,4,119,7
5,2,0.0,241.0,0,1.65,4,4,119,8
5,2,6.0,241.0,0,1.77,4,4,119,8
5,2,0.0,241.0,0,1.67,4,4,119,20
5,2,6.0,335.0,0,1.8,4,4,119,14
5,2,6.0,350.0,0,1.8,4,4,119,10
5,2,6.0,350.0,0,1.8,4,4,119,16
5,2,6.0,507.0,0,1.8,4,4,119,12
5,2,6.0,514.0,0,1.87,4,4,119,20
5,2,6.0,636.0,0,1.8,4,4,119,17
5,2,0.0,216.0,0,1.62,5,4,120,11
5,2,6.0,216.0,0,1.8,5,4,120,14
5,2,6.0,216.0,0,1.7,5,4,120,5
5,2,6.0,216.0,0,1.82,5,4,120,7
5,2,0.0,216.0,0,1.65,5,4,120,8
5,2,6.0,216.0,0,1.77,5,4,120,8
5,2,6.0,216.0,0,1.8,5,4,120,10
5,2,6.0,216.0,0,1.8,5,4,120,12
5,2,6.0,216.0,0,1.8,5,4,120,16
5,2,6.0,216.0,0,1.8,5,4,120,17
5,2,6.0,216.0,0,1.87,5,4,120,20
5,2,0.0,216.0,0,1.67,5,4,120,20
5,2,6.0,216.0,0,1.78,5,4,120,21
5,2,6.0,216.0,0,1.8,6,4,121,14
5,2,0.0,216.0,0,1.67,6,4,121,20
5,2,6.0,216.0,0,1.7,6,4,121,5
5,2,6.0,216.0,0,1.82,6,4,121,7
5,2,0.0,216.0,0,1.65,6,4,121,8
5,2,6.0,216.0,0,1.77,6,4,121,8
5,2,6.0,216.0,0,1.8,6,4,121,10
5,2,6.0,216.0,0,1.8,6,4,121,12
5,2,6.0,216.0,0,1.8,6,4,121,16
5,2,6.0,216.0,0,1.8,6,4,121,17
5,2,6.0,216.0,0,1.87,6,4,121,20
5,2,6.0,216.0,0,1.78,6,4,121,21
5,2,5.0,89.0,0,1.92,7,5,122,18
5,2,0.0,140.0,0,1.62,7,5,122,11
5,2,6.0,140.0,0,1.8,7,5,122,17
5,2,5.0,89.0,1,8.27,7,5,122,6
