Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Month,Travel Day of Year,Travel Hour
5,1,351.0,0,2.5,1,4,116,11
5,1,351.0,0,2.47,1,4,116,13
5,1,351.0,0,2.52,1,4,116,15
5,1,351.0,0,2.5,1,4,116,17
5,1,270.0,1,22.85,1,4,116,23
5,1,351.0,0,2.52,1,4,116,6
5,1,351.0,0,2.48,1,4,116,6
5,1,351.0,0,2.5,1,4,116,7
5,1,351.0,0,2.58,1,4,116,7
5,1,351.0,0,2.58,1,4,116,8
5,1,351.0,0,2.58,1,4,116,10
5,1,351.0,0,2.57,1,4,116,10
5,1,351.0,0,2.57,1,4,116,16
5,1,351.0,0,2.65,1,4,116,18
5,1,351.0,0,2.75,1,4,116,18
5,1,351.0,0,2.65,1,4,116,19
5,1,351.0,0,2.37,1,4,116,20
5,1,351.0,0,2.63,1,4,116,21
5,1,407.0,0,2.65,2,4,117,18
5,1,429.0,0,2.47,2,4,117,13
5,1,429.0,0,2.52,2,4,117,15
5,1,205.0,1,26.22,2,4,117,18
5,1,276.0,1,12.52,2,4,117,10
5,1,355.0,1,5.02,2,4,117,19
5,1,429.0,0,2.52,2,4,117,6
5,1,429.0,0,2.48,2,4,117,6
5,1,429.0,0,2.5,2,4,117,7
5,1,429.0,0,2.58,2,4,117,7
5,1,429.0,0,2.52,2,4,117,8
5,1,429.0,0,2.58,2,4,117,10
5,1,429.0,0,2.57,2,4,117,10
5,1,429.0,0,2.5,2,4,117,11
5,1,429.0,0,2.57,2,4,117,16
5,1,429.0,0,2.5,2,4,117,17
5,1,429.0,0,2.58,2,4,117,18
5,1,429.0,0,2.75,2,4,117,18
5,1,429.0,0,2.65,2,4,117,19
5,1,429.0,0,2.37,2,4,117,20
5,1,351.0,0,2.5,3,4,118,11
5,1,351.0,0,2.47,3,4,118,13
5,1,199.0,1,5.12,3,4,118,19
5,1,285.0,1,26.22,3,4,118,18
5,1,351.0,0,2.52,3,4,118,6
5,1,351.0,0,2.48,3,4,118,6
5,1,351.0,0,2.5,3,4,118,7
5,1,351.0,0,2.58,3,4,118,7
5,1,351.0,0,2.52,3,4,118,8
5,1,351.0,0,2.58,3,4,118,10
5,1,351.0,0,2.52,3,4,118,15
5,1,351.0,0,2.57,3,4,118,16
5,1,351.0,0,2.5,3,4,118,17
5,1,351.0,0,2.75,3,4,118,18
5,1,351.0,0,2.65,3,4,118,19
5,1,351.0,0,2.37,3,4,118,20
5,1,357.0,0,2.63,4,4,119,18
5,1,429.0,0,2.52,4,4,119,15
5,1,429.0,0,2.57,4,4,119,16
5,1,206.0,1,15.25,4,4,119,23
5,1,245.0,1,26.22,4,4,119,18
5,1,429.0,0,2.52,4,4,119,6
5,1,429.0,0,2.48,4,4,119,6
5,1,429.0,0,2.5,4,4,119,7
5,1,429.0,0,2.58,4,4,119,7
5,1,429.0,0,2.58,4,4,119,8
5,1,429.0,0,2.58,4,4,119,10
5,1,429.0,0,2.57,4,4,119,10
5,1,429.0,0,2.5,4,4,119,11
5,1,429.0,0,2.47,4,4,119,13
5,1,429.0,0,2.5,4,4,119,17
5,1,429.0,0,2.75,4,4,119,18
5,1,429.0,0,2.65,4,4,119,19
5,1,429.0,0,2.37,4,4,119,20
5,1,429.0,0,2.63,4,4,119,21
5,1,351.0,0,2.5,5,4,120,11
5,1,351.0,0,2.47,5,4,120,13
5,1,145.0,1,26.1,5,4,120,18
5,1,351.0,0,2.52,5,4,120,6
5,1,351.0,0,2.48,5,4,120,6
5,1,351.0,0,2.5,5,4,120,7
5,1,351.0,0,2.58,5,4,120,7
5,1,351.0,0,2.52,5,4,120,8
5,1,351.0,0,2.58,5,4,120,10
5,1,351.0,0,2.57,5,4,120,10
5,1,351.0,0,2.52,5,4,120,15
5,1,351.0,0,2.57,5,4,120,16
5,1,351.0,0,2.5,5,4,120,17
5,1,351.0,0,2.58,5,4,120,18
5,1,351.0,0,2.75,5,4,120,18
5,1,351.0,0,2.65,5,4,120,19
5,1,351.0,0,2.37,5,4,120,20
5,1,351.0,0,2.63,5,4,120,21
5,1,109.0,1,6.42,6,4,121,7
5,1,155.0,1,5.77,6,4,121,9
5,1,351.0,0,2.47,6,4,121,13
5,1,351.0,0,2.52,6,4,121,15
5,1,351.0,0,2.52,6,4,121,6
5,1,351.0,0,2.48,6,4,121,6
5,1,351.0,0,2.5,6,4,121,7
5,1,351.0,0,2.58,6,4,121,7
5,1,351.0,0,2.52,6,4,121,8
5,1,351.0,0,2.58,6,4,121,10
5,1,351.0,0,2.57,6,4,121,10
5,1,351.0,0,2.57,6,4,121,16
5,1,351.0,0,2.5,6,4,121,17
5,1,351.0,0,2.58,6,4,121,18
5,1,351.0,0,2.75,6,4,121,18
5,1,351.0,0,2.65,6,4,121,19
5,1,351.0,0,2.37,6,4,121,20
5,1,157.0,0,2.6,7,5,122,15
5,1,180.0,0,2.52,7,5,122,15
5,1,180.0,0,2.57,7,5,122,16
5,1,91.0,2,21.63,7,5,122,18
5,1,133.0,1,5.82,7,5,122,7
5,1,180.0,0,2.52,7,5,122,6
5,1,180.0,0,2.48,7,5,122,6
5,1,180.0,0,2.52,7,5,122,7
5,1,180.0,0,2.58,7,5,122,7
5,1,180.0,0,2.58,7,5,122,8
5,1,180.0,0,2.57,7,5,122,10
5,1,180.0,0,2.47,7,5,122,13
5,1,180.0,0,2.5,7,5,122,17
5,1,180.0,0,2.58,7,5,122,18
5,1,180.0,0,2.75,7,5,122,18
5,1,180.0,0,2.65,7,5,122,19
5,1,180.0,0,2.37,7,5,122,20
5,1,180.0,0,2.63,7,5,122,21
5,1,225.0,0,2.58,7,5,122,10
5,1,157.0,0,2.63,8,5,123,18
5,1,200.0,0,2.47,8,5,123,13
5,1,200.0,0,2.52,8,5,123,15
5,1,185.0,1,26.22,8,5,123,18
5,1,200.0,0,2.52,8,5,123,6
5,1,200.0,0,2.48,8,5,123,6
5,1,200.0,0,2.52,8,5,123,7
5,1,200.0,0,2.58,8,5,123,7
5,1,200.0,0,2.63,8,5,123,9
5,1,200.0,0,2.58,8,5,123,10
5,1,200.0,0,2.57,8,5,123,10
5,1,200.0,0,2.5,8,5,123,11
5,1,200.0,0,2.67,8,5,123,13
5,1,200.0,0,2.57,8,5,123,16
5,1,200.0,0,2.5,8,5,123,17
5,1,200.0,0,2.58,8,5,123,18
5,1,200.0,0,2.75,8,5,123,18
5,1,200.0,0,2.65,8,5,123,19
5,1,200.0,0,2.37,8,5,123,20
5,1,157.0,0,2.65,9,5,124,18
5,1,200.0,0,2.47,9,5,124,13
5,1,200.0,0,2.52,9,5,124,15
5,1,138.0,1,12.22,9,5,124,19
5,1,165.0,1,26.22,9,5,124,18
5,1,176.0,1,5.02,9,5,124,19
5,1,200.0,0,2.52,9,5,124,6
5,1,200.0,0,2.43,9,5,124,6
5,1,200.0,0,2.52,9,5,124,7
5,1,200.0,0,2.58,9,5,124,7
5,1,200.0,0,2.63,9,5,124,9
5,1,200.0,0,2.57,9,5,124,10
5,1,200.0,0,2.5,9,5,124,11
5,1,200.0,0,2.67,9,5,124,13
5,1,200.0,0,2.57,9,5,124,16
5,1,200.0,0,2.5,9,5,124,17
5,1,200.0,0,2.58,9,5,124,18
5,1,200.0,0,2.75,9,5,124,18
5,1,200.0,0,2.65,9,5,124,19
5,1,200.0,0,2.37,9,5,124,20
5,1,200.0,0,2.63,9,5,124,21
5,1,157.0,0,2.62,10,5,125,17
5,1,180.0,0,2.5,10,5,125,11
5,1,180.0,0,2.47,10,5,125,13
5,1,125.0,1,6.15,10,5,125,8
5,1,133.0,1,5.12,10,5,125,19
5,1,180.0,0,2.52,10,5,125,6
5,1,180.0,0,2.43,10,5,125,6
5,1,180.0,0,2.52,10,5,125,7
5,1,180.0,0,2.58,10,5,125,7
5,1,180.0,0,2.63,10,5,125,9
5,1,180.0,0,2.58,10,5,125,10
5,1,180.0,0,2.67,10,5,125,13
5,1,180.0,0,2.52,10,5,125,15
5,1,180.0,0,2.57,10,5,125,16
5,1,180.0,0,2.5,10,5,125,17
5,1,180.0,0,2.75,10,5,125,18
5,1,180.0,0,2.65,10,5,125,19
5,1,180.0,0,2.37,10,5,125,20
5,1,229.0,0,2.47,11,5,126,13
5,1,229.0,0,2.67,11,5,126,13
5,1,245.0,0,2.75,11,5,126,18
5,1,200.0,0,2.52,11,5,126,6
5,1,200.0,0,2.43,11,5,126,6
5,1,200.0,0,2.52,11,5,126,7
5,1,200.0,0,2.58,11,5,126,7
5,1,200.0,0,2.63,11,5,126,21
5,1,229.0,0,2.63,11,5,126,9
5,1,229.0,0,2.57,11,5,126,10
5,1,229.0,0,2.65,11,5,126,19
5,1,245.0,0,2.57,11,5,126,20
5,1,247.0,0,2.57,11,5,126,16
5,1,259.0,0,2.58,11,5,126,18
5,1,267.0,0,2.63,11,5,126,18
5,1,290.0,0,2.58,11,5,126,10
5,1,290.0,0,2.5,11,5,126,11
5,1,290.0,0,2.5,11,5,126,17
5,1,187.0,0,2.62,12,5,127,17
5,1,200.0,0,2.38,12,5,127,10
5,1,200.0,0,2.47,12,5,127,13
5,1,105.0,1,26.1,12,5,127,18
5,1,145.0,1,15.63,12,5,127,22
5,1,200.0,0,2.42,12,5,127,6
5,1,200.0,0,2.43,12,5,127,6
5,1,200.0,0,2.52,12,5,127,7
5,1,200.0,0,2.63,12,5,127,9
5,1,200.0,0,2.57,12,5,127,10
5,1,200.0,0,2.67,12,5,127,13
5,1,200.0,0,2.38,12,5,127,15
5,1,200.0,0,2.57,12,5,127,16
5,1,200.0,0,2.42,12,5,127,17
5,1,200.0,0,2.58,12,5,127,18
5,1,200.0,0,2.57,12,5,127,19
5,1,200.0,0,2.65,12,5,127,19
5,1,200.0,0,2.45,12,5,127,20
5,1,200.0,0,2.63,12,5,127,21
5,1,245.0,0,2.45,12,5,127,8
5,1,33.0,1,6.42,13,5,128,7
5,1,180.0,0,2.37,13,5,128,11
5,1,180.0,0,2.47,13,5,128,13
5,1,47.0,1,9.75,13,5,128,12
5,1,86.0,1,26.22,13,5,128,18
5,1,180.0,0,2.42,13,5,128,6
5,1,180.0,0,2.48,13,5,128,6
5,1,180.0,0,2.52,13,5,128,7
5,1,180.0,0,2.45,13,5,128,8
5,1,180.0,0,2.63,13,5,128,9
5,1,180.0,0,2.38,13,5,128,10
5,1,180.0,0,2.57,13,5,128,10
5,1,180.0,0,2.67,13,5,128,13
5,1,180.0,0,2.38,13,5,128,15
5,1,180.0,0,2.57,13,5,128,16
5,1,180.0,0,2.42,13,5,128,17
5,1,180.0,0,2.58,13,5,128,18
5,1,180.0,0,2.57,13,5,128,19
5,1,180.0,0,2.65,13,5,128,19
5,1,180.0,0,2.45,13,5,128,20
5,1,46.0,1,7.07,14,5,129,7
5,1,55.0,0,2.52,14,5,129,22
5,1,63.0,0,2.52,14,5,129,19
5,1,140.0,0,2.57,14,5,129,16
5,1,140.0,0,2.57,14,5,129,19
5,1,140.0,0,2.42,14,5,129,6
5,1,140.0,0,2.48,14,5,129,6
5,1,140.0,0,2.52,14,5,129,7
5,1,140.0,0,2.45,14,5,129,8
5,1,140.0,0,2.63,14,5,129,9
5,1,140.0,0,2.57,14,5,129,10
5,1,140.0,0,2.47,14,5,129,13
5,1,140.0,0,2.63,14,5,129,21
5,1,160.0,0,2.67,14,5,129,13
5,1,160.0,0,2.65,14,5,129,18
5,1,160.0,0,2.65,14,5,129,19
5,1,180.0,0,2.37,14,5,129,11
5,1,180.0,0,2.45,14,5,129,20
5,1,225.0,0,2.38,14,5,129,10
5,1,225.0,0,2.38,14,5,129,15
5,1,97.0,0,2.5,15,5,130,16
5,1,97.0,0,2.52,15,5,130,22
5,1,160.0,0,2.57,15,5,130,19
5,1,160.0,0,2.42,15,5,130,6
5,1,160.0,0,2.48,15,5,130,6
5,1,160.0,0,2.52,15,5,130,7
5,1,160.0,0,2.45,15,5,130,8
5,1,160.0,0,2.63,15,5,130,9
5,1,160.0,0,2.47,15,5,130,13
5,1,160.0,0,2.67,15,5,130,13
5,1,160.0,0,2.57,15,5,130,16
5,1,160.0,0,2.58,15,5,130,18
5,1,160.0,0,2.65,15,5,130,19
5,1,160.0,0,2.45,15,5,130,20
5,1,160.0,0,2.63,15,5,130,21
5,1,176.0,0,2.57,15,5,130,10
5,1,190.0,0,2.38,15,5,130,10
5,1,190.0,0,2.38,15,5,130,15
5,1,190.0,0,2.42,15,5,130,17
5,1,160.0,0,2.38,16,5,131,15
5,1,160.0,0,2.57,16,5,131,16
5,1,98.0,0,2.5,16,5,131,20
5,1,115.0,1,26.22,16,5,131,18
5,1,160.0,0,2.43,16,5,131,6
5,1,160.0,0,2.52,16,5,131,7
5,1,160.0,0,2.45,16,5,131,8
5,1,160.0,0,2.63,16,5,131,9
5,1,160.0,0,2.57,16,5,131,10
5,1,160.0,0,2.37,16,5,131,11
5,1,160.0,0,2.47,16,5,131,13
5,1,160.0,0,2.67,16,5,131,13
5,1,160.0,0,2.42,16,5,131,17
5,1,160.0,0,2.58,16,5,131,18
5,1,160.0,0,2.57,16,5,131,19
5,1,160.0,0,2.65,16,5,131,19
5,1,160.0,0,2.45,16,5,131,20
5,1,160.0,0,2.63,16,5,131,21
5,1,228.0,0,2.42,16,5,131,6
5,1,55.0,0,2.57,17,5,132,20
5,1,55.0,0,2.52,17,5,132,22
5,1,60.0,1,5.78,17,5,132,16
5,1,140.0,0,2.47,17,5,132,13
5,1,140.0,0,2.38,17,5,132,15
5,1,140.0,0,2.42,17,5,132,6
5,1,140.0,0,2.43,17,5,132,6
5,1,140.0,0,2.52,17,5,132,7
5,1,140.0,0,2.45,17,5,132,8
5,1,140.0,0,2.63,17,5,132,9
5,1,140.0,0,2.67,17,5,132,13
5,1,140.0,0,2.57,17,5,132,16
5,1,140.0,0,2.42,17,5,132,17
5,1,140.0,0,2.57,17,5,132,19
5,1,140.0,0,2.65,17,5,132,19
5,1,140.0,0,2.45,17,5,132,20
5,1,140.0,0,2.63,17,5,132,21
5,1,160.0,0,2.37,17,5,132,11
5,1,180.0,0,2.47,18,5,133,13
5,1,200.0,0,2.4,18,5,133,13
5,1,160.0,0,2.42,18,5,133,6
5,1,160.0,0,2.43,18,5,133,6
5,1,160.0,0,2.52,18,5,133,7
5,1,160.0,0,2.63,18,5,133,9
5,1,160.0,0,2.63,18,5,133,21
5,1,180.0,0,2.57,18,5,133,10
5,1,187.0,0,2.5,18,5,133,20
5,1,195.0,0,2.67,18,5,133,13
5,1,200.0,0,2.45,18,5,133,8
5,1,200.0,0,2.57,18,5,133,19
5,1,228.0,0,2.57,18,5,133,16
5,1,228.0,0,2.58,18,5,133,18
5,1,228.0,0,2.65,18,5,133,19
5,1,349.0,0,2.38,18,5,133,10
5,1,349.0,0,2.45,18,5,133,20
5,1,97.0,0,2.5,19,5,134,20
5,1,160.0,0,2.47,19,5,134,13
5,1,160.0,0,2.57,19,5,134,19
5,1,105.0,1,26.1,19,5,134,18
5,1,154.0,1,14.97,19,5,134,20
5,1,160.0,0,2.43,19,5,134,6
5,1,160.0,0,2.52,19,5,134,7
5,1,160.0,0,2.63,19,5,134,9
5,1,160.0,0,2.67,19,5,134,13
5,1,160.0,0,2.57,19,5,134,16
5,1,160.0,0,2.58,19,5,134,18
5,1,160.0,0,2.65,19,5,134,19
5,1,160.0,0,2.45,19,5,134,20
5,1,160.0,0,2.63,19,5,134,21
5,1,176.0,0,2.57,19,5,134,10
5,1,190.0,0,2.42,19,5,134,6
5,1,228.0,0,2.45,19,5,134,8
5,1,228.0,0,2.38,19,5,134,10
5,1,228.0,0,2.37,19,5,134,11
5,1,228.0,0,2.38,19,5,134,15
5,1,46.0,1,7.22,20,5,135,7
5,1,63.0,0,2.5,20,5,135,20
5,1,140.0,0,2.47,20,5,135,13
5,1,140.0,0,2.38,20,5,135,15
5,1,62.0,1,6.93,20,5,135,14
5,1,105.0,1,26.22,20,5,135,18
5,1,140.0,0,2.42,20,5,135,6
5,1,140.0,0,2.48,20,5,135,6
5,1,140.0,0,2.52,20,5,135,7
5,1,140.0,0,2.45,20,5,135,8
5,1,140.0,0,2.63,20,5,135,9
5,1,140.0,0,2.38,20,5,135,10
5,1,140.0,0,2.57,20,5,135,10
5,1,140.0,0,2.37,20,5,135,11
5,1,140.0,0,2.67,20,5,135,13
5,1,140.0,0,2.57,20,5,135,16
5,1,140.0,0,2.42,20,5,135,17
5,1,140.0,0,2.58,20,5,135,18
5,1,140.0,0,2.57,20,5,135,19
5,1,140.0,0,2.65,20,5,135,19
5,1,140.0,0,2.45,20,5,135,20
5,1,110.0,0,2.47,21,5,136,13
5,1,110.0,0,2.57,21,5,136,19
5,1,110.0,0,2.42,21,5,136,6
5,1,110.0,0,2.48,21,5,136,6
5,1,110.0,0,2.52,21,5,136,7
5,1,110.0,0,2.58,21,5,136,18
5,1,110.0,0,2.65,21,5,136,19
5,1,110.0,0,2.63,21,5,136,21
5,1,130.0,0,2.45,21,5,136,8
5,1,134.0,0,2.63,21,5,136,9
5,1,134.0,0,2.57,21,5,136,10
5,1,134.0,0,2.67,21,5,136,13
5,1,139.0,0,2.57,21,5,136,16
5,1,150.0,0,2.38,21,5,136,10
5,1,150.0,0,2.37,21,5,136,11
5,1,150.0,0,2.38,21,5,136,15
5,1,150.0,0,2.45,21,5,136,20
5,1,280.0,0,2.42,21,5,136,17
5,1,130.0,0,2.47,22,5,137,13
5,1,160.0,0,2.4,22,5,137,13
5,1,105.0,1,11.33,22,5,137,19
5,1,130.0,0,2.48,22,5,137,6
5,1,130.0,0,2.52,22,5,137,7
5,1,130.0,0,2.67,22,5,137,13
5,1,130.0,0,2.63,22,5,137,21
5,1,139.0,0,2.57,22,5,137,16
5,1,141.0,0,2.63,22,5,137,9
5,1,147.0,0,2.58,22,5,137,18
5,1,147.0,0,2.65,22,5,137,19
5,1,157.0,0,2.5,22,5,137,16
5,1,160.0,0,2.42,22,5,137,6
5,1,160.0,0,2.45,22,5,137,8
5,1,160.0,0,2.57,22,5,137,19
5,1,160.0,0,2.45,22,5,137,20
5,1,170.0,0,2.38,22,5,137,10
5,1,181.0,0,2.57,22,5,137,10
5,1,75.0,0,2.5,23,5,138,20
5,1,75.0,0,2.52,23,5,138,22
5,1,130.0,0,2.38,23,5,138,15
5,1,130.0,0,2.57,23,5,138,16
5,1,115.0,1,11.23,23,5,138,20
5,1,130.0,0,2.42,23,5,138,6
5,1,130.0,0,2.43,23,5,138,6
5,1,130.0,0,2.52,23,5,138,7
5,1,130.0,0,2.45,23,5,138,8
5,1,130.0,0,2.63,23,5,138,9
5,1,130.0,0,2.57,23,5,138,10
5,1,130.0,0,2.47,23,5,138,13
5,1,130.0,0,2.67,23,5,138,13
5,1,130.0,0,2.42,23,5,138,17
5,1,130.0,0,2.58,23,5,138,18
5,1,130.0,0,2.57,23,5,138,19
5,1,130.0,0,2.65,23,5,138,19
5,1,130.0,0,2.45,23,5,138,20
5,1,130.0,0,2.63,23,5,138,21
5,1,160.0,0,2.37,23,5,138,11
5,1,63.0,0,2.57,24,5,139,20
5,1,110.0,0,2.47,24,5,139,13
5,1,110.0,0,2.57,24,5,139,19
5,1,65.0,1,11.33,24,5,139,19
5,1,110.0,0,2.42,24,5,139,6
5,1,110.0,0,2.43,24,5,139,6
5,1,110.0,0,2.52,24,5,139,7
5,1,110.0,0,2.63,24,5,139,9
5,1,110.0,0,2.63,24,5,139,21
5,1,130.0,0,2.42,24,5,139,17
5,1,134.0,0,2.67,24,5,139,13
5,1,134.0,0,2.57,24,5,139,16
5,1,134.0,0,2.65,24,5,139,19
5,1,155.0,0,2.37,24,5,139,11
5,1,155.0,0,2.45,24,5,139,20
5,1,220.0,0,2.45,24,5,139,8
5,1,220.0,0,2.38,24,5,139,10
5,1,127.0,0,2.52,25,5,140,22
5,1,130.0,0,2.43,25,5,140,6
5,1,160.0,0,2.42,25,5,140,6
5,1,130.0,0,2.52,25,5,140,7
