Origin,Destination,Price ($),Num Stops,Time to Travel,Access-Departure Days,Travel Day of Year,Travel Hour,Access Day of Year
0,0,254,0,2.5,3,116,20,116
0,0,264,0,2.67,3,116,8,116
0,0,264,0,2.78,3,116,19,116
0,0,203,1,7.27,3,116,11,116
0,0,203,1,6.07,3,116,14,116
0,0,204,1,5.75,3,116,14,116
0,0,204,1,5.85,3,116,16,116
0,0,273,1,4.82,3,116,10,116
0,0,214,0,2.5,4,117,20,117
0,0,224,0,2.67,4,117,8,117
0,0,224,0,2.78,4,117,19,117
0,0,203,1,7.25,4,117,8,117
0,0,203,1,7.27,4,117,11,117
0,0,203,1,6.07,4,117,14,117
0,0,204,1,5.77,4,117,14,117
0,0,133,1,5.83,5,118,11,118
0,0,214,0,2.5,5,118,20,118
0,0,224,0,2.78,5,118,19,118
0,0,203,1,6.07,5,118,14,118
0,0,204,1,5.77,5,118,14,118
0,0,233,1,4.82,5,118,10,118
0,0,214,0,2.5,6,119,20,119
0,0,224,0,2.67,6,119,8,119
0,0,224,0,2.78,6,119,19,119
0,0,264,0,2.72,6,119,15,119
0,0,204,1,5.87,6,119,16,119
0,0,248,1,5.77,6,119,14,119
0,0,214,0,2.5,7,120,20,120
0,0,224,0,2.67,7,120,8,120
0,0,224,0,2.78,7,120,19,120
0,0,183,1,5.58,7,120,11,120
0,0,203,1,6.07,7,120,14,120
0,0,123,1,5.33,8,121,11,121
0,0,164,0,2.5,8,121,20,121
0,0,174,0,2.78,8,121,19,121
0,0,142,1,6.28,8,121,11,121
0,0,143,1,5.8,8,121,8,121
0,0,143,1,5.75,8,121,14,121
0,0,164,0,2.37,9,122,9,122
0,0,174,0,2.67,9,122,8,122
0,0,174,0,2.78,9,122,19,122
0,0,142,1,7.27,9,122,11,122
0,0,142,1,6.07,9,122,14,122
0,0,143,1,5.77,9,122,14,122
0,0,164,0,2.37,10,123,9,123
0,0,174,0,2.67,10,123,8,123
0,0,174,0,2.78,10,123,19,123
0,0,142,1,7.27,10,123,11,123
0,0,142,1,6.07,10,123,14,123
0,0,143,1,5.8,10,123,8,123
0,0,143,1,5.85,10,123,16,123
0,0,164,0,2.37,11,124,9,124
0,0,174,0,2.67,11,124,8,124
0,0,174,0,2.78,11,124,19,124
0,0,142,1,7.27,11,124,11,124
0,0,142,1,6.07,11,124,14,124
0,0,143,1,5.77,11,124,14,124
0,0,143,1,5.87,11,124,16,124
0,0,164,0,2.37,12,125,9,125
0,0,174,0,2.67,12,125,8,125
0,0,174,0,2.78,12,125,19,125
0,0,142,1,7.27,12,125,7,125
0,0,142,1,7.27,12,125,11,125
0,0,142,1,6.07,12,125,14,125
0,0,143,1,5.77,12,125,14,125
0,0,172,1,6.07,13,126,14,126
0,0,184,0,2.37,13,126,9,126
0,0,264,0,2.72,13,126,15,126
0,0,289,0,2.67,13,126,8,126
0,0,289,0,2.78,13,126,19,126
0,0,173,1,7.88,13,126,8,126
0,0,193,1,6.65,13,126,15,126
0,0,174,0,2.67,14,127,8,127
0,0,174,0,2.78,14,127,19,127
0,0,184,0,2.37,14,127,9,127
0,0,142,1,6.25,14,127,14,127
0,0,143,1,6.88,14,127,15,127
0,0,144,0,2.37,15,128,9,128
0,0,154,0,2.47,15,128,8,128
0,0,154,0,2.68,15,128,19,128
0,0,142,1,7.13,15,128,8,128
0,0,142,1,7.27,15,128,11,128
0,0,142,1,6.25,15,128,14,128
0,0,143,1,5.0,15,128,8,128
0,0,214,0,2.37,16,129,9,129
0,0,142,1,6.25,16,129,14,129
0,0,143,1,7.87,16,129,8,129
0,0,143,1,6.88,16,129,15,129
0,0,143,1,6.68,16,129,16,129
0,0,173,1,5.0,16,129,8,129
0,0,173,1,5.87,16,129,14,129
0,0,154,0,2.68,17,130,19,130
0,0,164,0,2.37,17,130,9,130
0,0,133,1,6.08,17,130,11,130
0,0,142,1,6.25,17,130,14,130
0,0,143,1,6.88,17,130,15,130
0,0,154,0,2.47,18,131,8,131
0,0,154,0,2.68,18,131,19,131
0,0,164,0,2.37,18,131,9,131
0,0,142,1,6.25,18,131,14,131
0,0,143,1,6.68,18,131,16,131
0,0,154,0,2.68,19,132,19,132
0,0,164,0,2.37,19,132,9,132
0,0,142,1,7.13,19,132,8,132
0,0,143,1,5.0,19,132,8,132
0,0,143,1,6.62,19,132,16,132
0,0,154,0,2.47,20,133,8,133
0,0,184,0,2.37,20,133,9,133
0,0,219,0,2.7,20,133,15,133
0,0,148,1,6.33,20,133,11,133
0,0,173,1,5.78,20,133,8,133
0,0,173,1,6.88,20,133,15,133
0,0,193,1,6.68,20,133,16,133
0,0,249,0,2.68,20,133,19,133
0,0,164,0,2.37,21,134,9,134
0,0,174,0,2.47,21,134,8,134
0,0,174,0,2.68,21,134,19,134
0,0,143,1,6.88,21,134,15,134
0,0,161,1,6.95,21,134,15,134
0,0,172,1,6.25,21,134,14,134
0,0,183,1,5.17,21,134,11,134
0,0,114,0,2.37,22,135,9,135
0,0,124,0,2.47,22,135,8,135
0,0,124,0,2.68,22,135,19,135
0,0,122,1,7.27,22,135,11,135
0,0,122,1,6.25,22,135,14,135
0,0,123,1,5.87,22,135,14,135
0,0,123,1,5.0,23,136,8,136
0,0,164,0,2.37,23,136,9,136
0,0,123,1,6.88,23,136,15,136
0,0,123,1,6.68,23,136,16,136
0,0,161,1,5.7,23,136,16,136
0,0,187,1,6.25,23,136,14,136
0,0,219,0,2.47,23,136,8,136
0,0,143,1,5.92,24,137,11,137
0,0,145,0,2.68,24,137,19,137
0,0,219,0,2.7,24,137,15,137
0,0,163,1,6.25,24,137,14,137
0,0,219,0,2.47,24,137,8,137
0,0,229,1,5.78,24,137,8,137
0,0,284,0,2.37,24,137,9,137
0,0,133,1,5.0,25,138,11,138
0,0,219,0,2.47,25,138,8,138
0,0,219,0,2.68,25,138,19,138
0,0,254,0,2.37,25,138,9,138
0,0,188,1,6.88,25,138,15,138
0,0,188,1,7.58,25,138,16,138
0,0,123,1,6.88,26,139,15,139
0,0,219,0,2.68,26,139,19,139
0,0,254,0,2.37,26,139,9,139
0,0,153,1,7.13,26,139,8,139
0,0,154,1,7.87,26,139,8,139
0,0,188,1,5.78,26,139,8,139
0,0,196,1,5.7,26,139,16,139
0,0,298,1,6.33,27,140,11,140
0,0,324,0,2.37,27,140,9,140
0,0,339,0,2.68,27,140,19,140
0,0,419,0,2.47,27,140,8,140
0,0,479,0,2.7,27,140,15,140
0,0,159,2,11.92,27,140,23,140
0,0,159,2,11.92,27,140,23,140
0,0,367,1,7.27,27,140,11,140
0,0,367,1,6.25,27,140,14,140
0,0,145,0,2.68,28,141,19,141
0,0,163,1,6.25,28,141,14,141
0,0,184,0,2.37,28,141,9,141
0,0,219,0,2.7,28,141,15,141
0,0,183,1,5.42,28,141,11,141
0,0,219,0,2.47,28,141,8,141
0,0,438,1,4.92,28,141,12,141
0,0,184,0,2.37,29,142,9,142
0,0,123,1,5.78,29,142,8,142
0,0,123,1,6.88,29,142,15,142
0,0,187,1,6.25,29,142,14,142
0,0,219,0,2.47,29,142,8,142
0,0,123,1,5.78,30,143,8,143
0,0,214,0,2.37,30,143,9,143
0,0,139,1,6.88,30,143,15,143
0,0,153,1,6.25,30,143,14,143
0,0,154,1,5.0,30,143,8,143
0,0,161,1,5.7,30,143,16,143
0,0,219,0,2.47,30,143,8,143
0,0,169,0,2.47,31,144,8,144
0,0,254,0,2.37,31,144,9,144
0,0,279,0,2.7,31,144,15,144
0,0,279,0,2.68,31,144,19,144
0,0,283,1,6.0,31,144,11,144
0,0,408,1,4.92,31,144,12,144
0,0,488,1,4.5,31,144,12,144
0,0,169,0,2.68,32,145,19,145
0,0,214,0,2.37,32,145,9,145
0,0,259,0,2.7,32,145,15,145
0,0,279,0,2.47,32,145,8,145
0,0,262,2,14.3,32,145,23,145
0,0,325,2,11.32,32,145,21,145
0,0,468,1,4.92,32,145,12,145
0,0,164,0,2.37,33,146,9,146
0,0,169,0,2.47,33,146,8,146
0,0,133,1,6.25,33,146,14,146
0,0,148,1,6.2,33,146,16,146
0,0,154,1,7.87,33,146,8,146
0,0,188,1,5.02,33,146,15,146
0,0,114,0,2.37,34,147,9,147
0,0,123,1,5.0,34,147,8,147
0,0,124,0,2.68,34,147,19,147
0,0,169,0,2.7,34,147,15,147
0,0,148,1,5.08,34,147,11,147
0,0,169,0,2.47,34,147,8,147
0,0,189,2,11.92,34,147,23,147
0,0,273,1,4.92,34,147,12,147
0,0,124,0,2.47,35,148,8,148
0,0,144,0,2.37,35,148,9,148
0,0,154,0,2.68,35,148,19,148
0,0,219,0,2.7,35,148,15,148
0,0,233,1,6.17,35,148,11,148
0,0,298,1,4.92,35,148,12,148
0,0,333,1,15.18,35,148,21,148
0,0,124,0,2.68,36,149,19,149
0,0,144,0,2.37,36,149,9,149
0,0,154,1,5.0,36,149,8,149
0,0,159,2,12.27,36,149,21,149
0,0,187,1,6.25,36,149,14,149
0,0,298,1,4.92,36,149,12,149
0,0,298,1,6.17,36,149,14,149
0,0,123,1,5.0,37,150,8,150
0,0,124,0,2.68,37,150,19,150
0,0,184,0,2.37,37,150,9,150
0,0,123,1,6.88,37,150,15,150
0,0,148,1,6.2,37,150,16,150
0,0,154,1,5.87,37,150,14,150
0,0,187,1,6.25,37,150,14,150
0,0,124,0,2.68,38,151,19,151
0,0,164,0,2.37,38,151,9,151
0,0,123,1,6.0,38,151,11,151
0,0,145,0,2.47,38,151,8,151
0,0,149,1,9.7,38,151,8,151
0,0,149,1,8.58,38,151,14,151
0,0,154,1,5.78,38,151,8,151
0,0,124,0,2.68,39,152,19,152
0,0,144,0,2.37,39,152,9,152
0,0,139,1,5.78,39,152,8,152
0,0,143,1,5.08,39,152,11,152
0,0,219,0,2.47,39,152,8,152
0,0,273,1,4.5,39,152,12,152
0,0,124,0,2.68,40,153,19,153
0,0,144,0,2.37,40,153,9,153
0,0,123,1,5.5,40,153,11,153
0,0,123,1,5.78,40,153,8,153
0,0,134,1,5.0,40,153,8,153
0,0,228,1,6.25,40,153,14,153
0,0,169,0,2.47,41,154,8,154
0,0,239,0,2.68,41,154,19,154
0,0,254,0,2.37,41,154,9,154
0,0,289,0,2.7,41,154,15,154
0,0,159,2,11.92,41,154,23,154
0,0,159,2,11.92,41,154,23,154
0,0,229,1,7.87,41,154,8,154
0,0,238,1,5.83,41,154,11,154
0,0,293,1,5.0,41,154,8,154
0,0,124,0,2.68,42,155,19,155
0,0,148,1,5.75,42,155,11,155
0,0,169,0,2.7,42,155,15,155
0,0,188,1,5.0,42,155,8,155
0,0,254,0,2.37,42,155,9,155
0,0,159,2,11.92,42,155,23,155
0,0,159,2,11.92,42,155,23,155
0,0,228,1,4.92,42,155,12,155
0,0,239,0,2.47,42,155,8,155
0,0,123,1,5.78,43,156,8,156
0,0,124,0,2.68,43,156,19,156
0,0,135,0,2.37,43,156,9,156
0,0,153,1,6.25,43,156,14,156
0,0,187,1,7.27,43,156,11,156
0,0,228,1,4.92,43,156,12,156
0,0,229,1,5.87,43,156,14,156
0,0,135,0,2.37,44,157,9,157
0,0,148,1,4.3,44,157,11,157
0,0,169,0,2.68,44,157,19,157
0,0,133,1,7.23,44,157,7,157
0,0,133,1,7.75,44,157,14,157
0,0,134,1,7.9,44,157,8,157
0,0,187,1,5.98,44,157,14,157
0,0,124,0,2.68,45,158,19,158
0,0,138,1,7.75,45,158,14,158
0,0,154,0,2.7,45,158,15,158
0,0,219,0,2.47,45,158,8,158
0,0,254,0,2.37,45,158,9,158
0,0,187,1,5.17,45,158,7,158
0,0,193,1,7.22,45,158,11,158
0,0,368,1,5.57,45,158,16,158
0,0,124,0,2.8,46,159,19,159
0,0,148,1,5.83,46,159,16,159
0,0,168,1,5.03,46,159,14,159
0,0,169,0,2.38,46,159,8,159
0,0,164,2,12.18,46,159,23,159
0,0,219,0,2.77,46,159,15,159
0,0,228,1,4.5,46,159,12,159
0,0,254,0,2.37,46,159,9,159
0,0,273,1,4.8,46,159,10,159
0,0,124,0,2.38,47,160,8,160
0,0,144,0,2.37,47,160,9,160
0,0,148,1,5.83,47,160,16,160
0,0,179,1,5.03,47,160,14,160
0,0,219,0,2.77,47,160,15,160
0,0,164,2,12.5,47,160,8,160
0,0,219,0,2.8,47,160,19,160
0,0,228,1,6.12,47,160,16,160
0,0,219,0,2.38,48,161,8,161
0,0,219,0,2.8,48,161,19,161
0,0,254,0,2.37,48,161,9,161
0,0,289,0,2.77,48,161,15,161
0,0,164,2,12.25,48,161,23,161
0,0,283,1,6.25,48,161,11,161
0,0,368,1,6.8,48,161,15,161
0,0,401,1,5.83,48,161,16,161
0,0,124,0,2.8,49,162,19,162
0,0,164,0,2.37,49,162,9,162
0,0,219,0,2.38,49,162,8,162
0,0,219,0,2.77,49,162,15,162
0,0,164,2,12.25,49,162,23,162
0,0,183,1,5.87,49,162,11,162
0,0,233,1,5.83,49,162,16,162
0,0,124,0,2.38,50,163,8,163
0,0,124,0,2.8,50,163,19,163
0,0,164,0,2.37,50,163,9,163
0,0,124,1,6.9,50,163,8,163
0,0,124,1,6.8,50,163,15,163
0,0,161,1,5.83,50,163,16,163
0,0,228,1,4.3,50,163,11,163
0,0,124,0,2.38,51,164,8,164
0,0,169,0,2.8,51,164,19,164
0,0,178,1,5.17,51,164,7,164
0,0,184,0,2.37,51,164,9,164
0,0,229,1,6.8,51,164,15,164
0,0,246,1,5.83,51,164,16,164
0,0,169,0,2.8,52,165,19,165
0,0,214,0,2.62,52,165,20,165
0,0,218,1,6.13,52,165,11,165
0,0,228,1,7.23,52,165,7,165
0,0,239,0,2.38,52,165,8,165
0,0,284,0,2.38,52,165,9,165
0,0,214,0,2.62,53,166,20,166
0,0,219,0,2.38,53,166,8,166
0,0,219,0,2.8,53,166,19,166
0,0,239,0,2.77,53,166,15,166
0,0,164,2,14.67,53,166,23,166
0,0,164,2,14.67,53,166,23,166
0,0,169,1,33.58,53,166,11,166
0,0,293,1,5.57,53,166,16,166
0,0,324,0,2.38,53,166,9,166
0,0,144,0,2.28,54,167,10,167
0,0,153,1,7.2,54,167,8,167
0,0,154,0,2.38,54,167,8,167
0,0,184,0,2.62,54,167,20,167
0,0,219,0,2.77,54,167,15,167
0,0,219,0,2.8,54,167,19,167
0,0,229,1,5.03,54,167,14,167
0,0,273,1,5.03,54,167,12,167
0,0,293,1,6.83,54,167,15,167
0,0,169,0,2.38,55,168,8,168
0,0,169,0,2.8,55,168,19,168
0,0,184,0,2.62,55,168,20,168
0,0,214,0,2.38,55,168,9,168
0,0,239,0,2.77,55,168,15,168
0,0,164,2,12.25,55,168,23,168
0,0,169,1,22.02,55,168,11,168
0,0,173,1,8.2,55,168,11,168
0,0,368,1,6.8,55,168,15,168
0,0,528,1,5.03,55,168,12,168
0,0,144,0,2.62,56,169,20,169
0,0,164,0,2.38,56,169,9,169
0,0,169,0,2.38,56,169,8,169
0,0,169,0,2.8,56,169,19,169
0,0,148,1,5.82,56,169,11,169
0,0,293,1,5.57,56,169,16,169
0,0,388,1,4.33,56,169,11,169
0,0,124,0,2.38,57,170,8,170
0,0,124,0,2.8,57,170,19,170
0,0,135,0,2.38,57,170,9,170
0,0,123,1,7.23,57,170,7,170
0,0,164,0,2.62,57,170,20,170
0,0,169,0,2.77,57,170,15,170
0,0,229,1,6.8,57,170,15,170
0,0,348,1,4.5,57,170,12,170
0,0,164,0,2.62,58,171,20,171
0,0,169,0,2.8,58,171,19,171
0,0,178,1,5.17,58,171,7,171
0,0,219,0,2.77,58,171,15,171
0,0,218,1,5.53,58,171,11,171
0,0,239,0,2.38,58,171,8,171
0,0,254,0,2.38,58,171,9,171
0,0,348,1,4.8,58,171,10,171
0,0,164,0,2.62,59,172,20,172
0,0,214,0,2.38,59,172,9,172
0,0,219,0,2.77,59,172,15,172
0,0,219,0,2.8,59,172,19,172
0,0,239,0,2.38,59,172,8,172
0,0,283,1,6.92,59,172,11,172
0,0,293,1,6.8,59,172,15,172
0,0,388,1,4.5,59,172,12,172
0,0,468,1,4.33,59,172,11,172
0,0,169,0,2.38,60,173,8,173
0,0,184,0,2.62,60,173,20,173
0,0,219,0,2.8,60,173,19,173
0,0,239,0,2.77,60,173,15,173
0,0,254,0,2.38,60,173,9,173
0,0,198,1,7.78,60,173,11,173
0,0,228,1,7.75,60,173,14,173
0,0,184,0,2.28,61,174,10,174
0,0,214,0,2.62,61,174,20,174
0,0,219,0,2.38,61,174,8,174
0,0,219,0,2.77,61,174,15,174
0,0,239,0,2.8,61,174,19,174
0,0,278,1,5.03,61,174,11,174
0,0,368,1,5.03,61,174,14,174
0,0,443,1,5.57,61,174,16,174
0,0,169,0,2.8,62,175,19,175
0,0,184,0,2.62,62,175,20,175
0,0,239,0,2.38,62,175,8,175
0,0,289,0,2.77,62,175,15,175
0,0,164,2,14.67,62,175,23,175
0,0,164,2,14.67,62,175,23,175
0,0,409,0,2.38,62,175,9,175
0,0,528,1,4.5,62,175,12,175
0,0,124,0,2.8,63,176,19,176
0,0,144,0,2.62,63,176,20,176
0,0,169,0,2.38,63,176,8,176
0,0,169,0,2.77,63,176,15,176
0,0,187,1,7.23,63,176,7,176
0,0,188,1,6.9,63,176,8,176
0,0,298,1,6.03,63,176,11,176
0,0,324,0,2.38,63,176,9,176
0,0,388,1,5.03,63,176,12,176
0,0,184,0,2.38,64,177,9,177
0,0,184,0,2.62,64,177,20,177
0,0,219,0,2.38,64,177,8,177
0,0,164,2,12.25,64,177,23,177
0,0,178,1,7.13,64,177,6,177
0,0,178,1,7.23,64,177,7,177
0,0,213,1,5.13,64,177,11,177
0,0,289,0,2.8,64,177,19,177
0,0,169,0,2.38,65,178,8,178
0,0,239,0,2.8,65,178,19,178
0,0,284,0,2.38,65,178,9,178
0,0,284,0,2.62,65,178,20,178
0,0,289,0,2.77,65,178,15,178
0,0,293,1,6.8,65,178,15,178
0,0,298,1,5.37,65,178,11,178
0,0,348,1,4.3,65,178,11,178
0,0,249,0,2.38,66,179,8,179
0,0,249,0,2.8,66,179,19,179
0,0,254,0,2.62,66,179,20,179
0,0,287,1,9.4,66,179,14,179
0,0,298,1,6.55,66,179,11,179
0,0,368,1,6.9,66,179,8,179
0,0,284,0,2.62,67,180,20,180
0,0,292,1,5.17,67,180,7,180
0,0,349,0,2.77,67,180,15,180
0,0,349,0,2.8,67,180,19,180
0,0,399,0,2.38,67,180,8,180
0,0,287,1,9.4,67,180,14,180
0,0,343,1,5.92,67,180,11,180
0,0,368,1,5.92,67,180,8,180
0,0,474,0,2.38,67,180,9,180
0,0,174,0,2.8,68,181,19,181
0,0,219,0,2.77,68,181,15,181
0,0,254,0,2.28,68,181,10,181
0,0,254,0,2.62,68,181,20,181
0,0,349,0,2.38,68,181,8,181
0,0,353,1,5.03,68,181,11,181
0,0,368,1,5.57,68,181,16,181
0,0,219,0,2.38,69,182,8,182
0,0,219,0,2.8,69,182,19,182
0,0,284,0,2.38,69,182,9,182
0,0,289,0,2.77,69,182,15,182
0,0,324,0,2.62,69,182,20,182
0,0,368,1,5.53,69,182,11,182
0,0,368,1,6.8,69,182,15,182
0,0,488,1,5.03,69,182,12,182
0,0,174,0,2.38,70,183,8,183
0,0,174,0,2.8,70,183,19,183
0,0,184,0,2.62,70,183,20,183
0,0,219,0,2.77,70,183,15,183
0,0,164,2,13.72,70,183,8,183
0,0,167,1,7.23,70,183,7,183
0,0,168,1,6.8,70,183,15,183
0,0,144,0,2.62,71,184,20,184
0,0,154,0,2.38,71,184,8,184
0,0,174,0,2.77,71,184,15,184
0,0,174,0,2.8,71,184,19,184
0,0,184,0,2.38,71,184,9,184
0,0,194,2,13.32,71,184,10,184
0,0,194,2,13.32,71,184,10,184
0,0,229,1,6.8,71,184,15,184
0,0,238,1,6.23,71,184,11,184
0,0,298,1,4.3,71,184,11,184
0,0,174,0,2.8,72,185,19,185
0,0,214,0,2.38,72,185,9,185
0,0,214,0,2.62,72,185,20,185
0,0,219,0,2.77,72,185,15,185
0,0,218,1,16.22,72,185,18,185
0,0,229,1,6.8,72,185,15,185
0,0,303,1,5.13,72,185,11,185
0,0,143,1,5.47,73,186,11,186
0,0,184,0,2.62,73,186,20,186
0,0,214,0,2.38,73,186,9,186
0,0,219,0,2.77,73,186,15,186
0,0,219,0,2.8,73,186,19,186
0,0,178,1,11.57,73,186,12,186
0,0,289,0,2.38,73,186,8,186
0,0,298,1,5.03,73,186,11,186
0,0,174,0,2.38,74,187,8,187
0,0,174,0,2.8,74,187,19,187
0,0,214,0,2.38,74,187,9,187
0,0,188,1,6.87,74,187,8,187
0,0,193,1,6.2,74,187,11,187
0,0,214,0,2.62,74,187,20,187
0,0,249,0,2.77,74,187,15,187
